tmID_raw  tmID  franchID  confID  year  arena  name  o_fgm  o_fga  o_ftm  o_fta  o_3pm  o_oreb  o_dreb  o_reb  o_asts  o_pf  o_stl  o_to  o_blk  o_pts  prev_d_fga  prev_d_ftm  prev_d_3pm  prev_d_3pa  prev_d_oreb  prev_d_dreb  prev_d_asts  prev_d_pf  prev_d_stl  prev_d_to  prev_d_blk  prev_d_pts  roll3_d_fga  roll3_d_ftm  roll3_d_3pm  roll3_d_3pa  roll3_d_oreb  roll3_d_dreb  roll3_d_asts  roll3_d_pf  roll3_d_stl  roll3_d_to  roll3_d_blk  roll3_d_pts
     CHA     0         0       0     1      3     0    812   1903    431    577    131     305     630    935     551   713    222   496     90   2186         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CHA     0         0       0     2      3     0    746   1780    410    528    153     309     639    948     467   605    217   474    114   2055      1930.0       533.0       138.0       423.0        326.0        664.0        596.0      596.0       259.0      426.0       123.0      2429.0       1930.0        533.0        138.0        423.0         326.0         664.0         596.0       596.0        259.0       426.0        123.0       2429.0
     CLE     1         1       0     1      9     1    809   1828    426    570    141     331     603    934     539   647    259   538     91   2185         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CLE     1         1       0     2      9     1    763   1770    372    505    106     297     662    959     503   532    267   444     83   2004      1761.0       455.0       119.0       368.0        277.0        596.0        540.0      693.0       305.0      552.0        95.0      2122.0       1761.0        455.0        119.0        368.0         277.0         596.0         540.0       693.0        305.0       552.0         95.0       2122.0
     DET     2         3       0     1     13     2    868   1980    519    699     76     341     644    985     503   701    260   530     88   2331         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     DET     2         3       0     2     13     2    774   1914    412    542    143     324     621    945     469   602    225   498     82   2103      1967.0       480.0       136.0       372.0        331.0        640.0        513.0      672.0       284.0      543.0       148.0      2426.0       1967.0        480.0        136.0        372.0         331.0         640.0         513.0       672.0        284.0       543.0        148.0       2426.0
     HOU     3         4       1     1      4     3    891   1894    521    634    172     273     724    997     494   554    284   440    104   2475         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     HOU     3         4       1     2      4     3    747   1908    415    539    138     348     710   1058     426   509    251   436     95   2047      1938.0       370.0       124.0       418.0        290.0        612.0        473.0      648.0       233.0      480.0        85.0      2066.0       1938.0        370.0        124.0        418.0         290.0         612.0         473.0       648.0        233.0       480.0         85.0       2066.0
     IND     4         5       0     1      5     4    796   1838    428    569    193     285     647    932     501   642    271   518    126   2213         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     IND     4         5       0     2      5     4    762   1822    472    591    157     286     649    935     458   600    242   491    118   2153      1868.0       503.0       109.0       358.0        321.0        633.0        528.0      612.0       267.0      476.0        75.0      2290.0       1868.0        503.0        109.0        358.0         321.0         633.0         528.0       612.0        267.0       476.0         75.0       2290.0
     LAS     5         6       1     1     11     5    861   1956    545    693    150     308     783   1091     586   705    271   466    156   2417         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     LAS     5         6       1     2     11     5    916   2031    449    594    160     350     755   1105     596   616    281   438    138   2441      1963.0       495.0       122.0       413.0        300.0        678.0        445.0      650.0       243.0      485.0       105.0      2169.0       1963.0        495.0        122.0        413.0         300.0         678.0         445.0       650.0        243.0       485.0        105.0       2169.0
