tmID_raw  tmID  franchID  confID  year  arena  name  o_fgm  o_fga  o_ftm  o_fta  o_3pm  o_oreb  o_dreb  o_reb  o_asts  o_pf  o_stl  o_to  o_blk  o_pts  prev_d_fga  prev_d_ftm  prev_d_3pm  prev_d_3pa  prev_d_oreb  prev_d_dreb  prev_d_asts  prev_d_pf  prev_d_stl  prev_d_to  prev_d_blk  prev_d_pts  roll3_d_fga  roll3_d_ftm  roll3_d_3pm  roll3_d_3pa  roll3_d_oreb  roll3_d_dreb  roll3_d_asts  roll3_d_pf  roll3_d_stl  roll3_d_to  roll3_d_blk  roll3_d_pts
     ATL     0         0       0     9     11     0    895   2258    542    725    202     340     737   1077     492   796    285   593    142   2534         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CHA     1         1       0     1      4     1    812   1903    431    577    131     305     630    935     551   713    222   496     90   2186         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CHA     1         1       0     2      4     1    746   1780    410    528    153     309     639    948     467   605    217   474    114   2055      1930.0       533.0       138.0       423.0        326.0        664.0        596.0      596.0       259.0      426.0       123.0      2429.0  1930.000000   533.000000   138.000000   423.000000    326.000000    664.000000    596.000000  596.000000   259.000000  426.000000   123.000000  2429.000000
     CHA     1         1       0     3      4     1    770   1790    490    663    211     302     653    955     496   647    241   408    105   2241      1846.0       431.0       114.0       369.0        344.0        567.0        443.0      579.0       257.0      447.0       124.0      2009.0  1888.000000   482.000000   126.000000   396.000000    335.000000    615.500000    519.500000  587.500000   258.000000  436.500000   123.500000  2219.000000
     CHA     1         1       0     4      4     1    787   1881    456    590    187     342     629    971     499   697    279   497    115   2217      1807.0       444.0       133.0       372.0        295.0        620.0        489.0      600.0       208.0      424.0       103.0      2133.0  1861.000000   469.333333   128.333333   388.000000    321.666667    617.000000    509.333333  591.666667   241.333333  432.333333   116.666667  2190.333333
     CHA     1         1       0     5      4     1    745   1744    436    590    166     256     616    872     426   648    210   479    134   2092      1902.0       477.0       138.0       407.0        386.0        621.0        491.0      606.0       264.0      469.0       104.0      2195.0  1851.666667   450.666667   128.333333   382.666667    341.666667    602.666667    474.333333  595.000000   243.000000  446.666667   110.333333  2112.333333
     CHA     1         1       0     6      4     1    772   1913    447    624    104     316     609    925     493   727    284   535    113   2095      1932.0       438.0       130.0       349.0        368.0        628.0        516.0      595.0       243.0      437.0       114.0      2168.0  1880.333333   453.000000   133.666667   376.000000    349.666667    623.000000    498.666667  600.333333   238.333333  443.333333   107.000000  2165.333333
     CHA     1         1       0     7     17     1    864   2178    552    777    176     347     747   1094     527   734    315   574    155   2456      1888.0       509.0       124.0       339.0        355.0        700.0        496.0      654.0       269.0      534.0       146.0      2335.0  1907.333333   474.666667   130.666667   365.000000    369.666667    649.666667    501.000000  618.333333   258.666667  480.000000   121.333333  2232.666667
     CHI     2         2       0     7     19     2    858   2175    449    643    157     357     680   1037     509   674    277   527    125   2322         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CHI     2         2       0     8     19     2    925   2277    489    723    186     383     782   1165     597   634    262   510    112   2525      2147.0       545.0       200.0       536.0        379.0        860.0        623.0      584.0       262.0      535.0       120.0      2687.0  2147.000000   545.000000   200.000000   536.000000    379.000000    860.000000    623.000000  584.000000   262.000000  535.000000   120.000000  2687.000000
     CHI     2         2       0     9     19     2    899   2100    564    812    110     357     770   1127     548   639    269   525    149   2472      2243.0       501.0       184.0       481.0        379.0        846.0        584.0      683.0       242.0      566.0       138.0      2611.0  2195.000000   523.000000   192.000000   508.500000    379.000000    853.000000    603.500000  633.500000   252.000000  550.500000   129.000000  2649.000000
     CLE     3         3       0     1     12     3    809   1828    426    570    141     331     603    934     539   647    259   538     91   2185         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CLE     3         3       0     2     12     3    763   1770    372    505    106     297     662    959     503   532    267   444     83   2004      1761.0       455.0       119.0       368.0        277.0        596.0        540.0      693.0       305.0      552.0        95.0      2122.0  1761.000000   455.000000   119.000000   368.000000    277.000000    596.000000    540.000000  693.000000   305.000000  552.000000    95.000000  2122.000000
     CLE     3         3       0     3     12     3    760   1820    430    553    121     295     674    969     480   567    221   451     83   2071      1745.0       328.0       132.0       417.0        297.0        594.0        434.0      597.0       225.0      496.0       127.0      1788.0  1753.000000   391.500000   125.500000   392.500000    287.000000    595.000000    487.000000  645.000000   265.000000  524.000000   111.000000  1955.000000
     CLE     3         3       0     4     12     3    815   1975    464    643    135     349     720   1069     517   639    226   466     86   2229      1834.0       397.0       149.0       441.0        278.0        640.0        530.0      613.0       242.0      428.0       109.0      2140.0  1780.000000   393.333333   133.333333   408.666667    284.000000    610.000000    501.333333  634.333333   257.333333  492.000000   110.333333  2016.666667
     CON     4         4       0     4     10     4    864   2102    479    646    177     333     762   1095     520   663    270   434    111   2384         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CON     4         4       0     5     10     4    876   2051    434    590    149     321     724   1045     572   610    299   462     96   2335      2104.0       509.0       172.0       536.0        366.0        812.0        553.0      669.0       252.0      476.0        88.0      2409.0  2104.000000   509.000000   172.000000   536.000000    366.000000    812.000000    553.000000  669.000000   252.000000  476.000000    88.000000  2409.000000
     CON     4         4       0     6     10     4    916   2025    512    688    130     322     788   1110     573   624    236   452    130   2474      1996.0       443.0       145.0       384.0        306.0        757.0        565.0      627.0       239.0      492.0       113.0      2304.0  2050.000000   476.000000   158.500000   460.000000    336.000000    784.500000    559.000000  648.000000   245.500000  484.000000   100.500000  2356.500000
     CON     4         4       0     7     10     4    982   2216    545    675    174     342     926   1268     630   530    252   514    153   2683      2100.0       452.0       122.0       400.0        350.0        728.0        495.0      675.0       258.0      442.0        79.0      2244.0  2066.666667   468.000000   146.333333   440.000000    340.666667    765.666667    537.666667  657.000000   249.666667  470.000000    93.333333  2319.000000
     CON     4         4       0     8     10     4   1001   2327    478    615    195     354     868   1222     619   641    272   540    156   2675      2357.0       358.0       163.0       508.0        370.0        783.0        528.0      646.0       273.0      486.0       103.0      2417.0  2151.000000   417.666667   143.333333   430.666667    342.000000    756.000000    529.333333  649.333333   256.666667  473.333333    98.333333  2321.666667
     CON     4         4       0     9     10     4    965   2286    539    723    221     370     869   1239     607   629    211   487     97   2690      2317.0       475.0       166.0       485.0        337.0        842.0        581.0      633.0       246.0      524.0        85.0      2593.0  2258.000000   428.333333   150.333333   464.333333    352.333333    784.333333    534.666667  651.333333   259.000000  484.000000    89.000000  2418.000000
     DET     5         5       0     1     16     5    868   1980    519    699     76     341     644    985     503   701    260   530     88   2331         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     DET     5         5       0     2     16     5    774   1914    412    542    143     324     621    945     469   602    225   498     82   2103      1967.0       480.0       136.0       372.0        331.0        640.0        513.0      672.0       284.0      543.0       148.0      2426.0  1967.000000   480.000000   136.000000   372.000000    331.000000    640.000000    513.000000  672.000000   284.000000  543.000000   148.000000  2426.000000
     DET     5         5       0     3     16     5    766   1919    472    651    110     360     719   1079     478   609    201   541    132   2114      1837.0       446.0       127.0       340.0        279.0        702.0        438.0      591.0       262.0      483.0       109.0      2269.0  1902.000000   463.000000   131.500000   356.000000    305.000000    671.000000    475.500000  631.500000   273.000000  513.000000   128.500000  2347.500000
     DET     5         5       0     4     16     5    902   2004    624    882    125     379     851   1230     545   605    263   608    158   2553      1984.0       464.0       146.0       447.0        314.0        669.0        465.0      637.0       277.0      443.0       139.0      2266.0  1929.333333   463.333333   136.333333   386.333333    308.000000    670.333333    472.000000  633.333333   274.333333  489.666667   132.000000  2320.333333
     DET     5         5       0     5     16     5    874   2097    556    792     62     397     773   1170     564   648    277   513    148   2366      2286.0       412.0       161.0       541.0        390.0        674.0        504.0      774.0       309.0      497.0       129.0      2395.0  2035.666667   440.666667   144.666667   442.666667    327.666667    681.666667    469.000000  667.333333   282.666667  474.333333   125.666667  2310.000000
     DET     5         5       0     6     16     5    831   2060    509    774     76     412     803   1215     474   761    241   571    155   2247      2098.0       470.0       191.0       533.0        325.0        730.0        515.0      728.0       289.0      496.0       131.0      2381.0  2122.666667   448.666667   166.000000   507.000000    343.000000    691.000000    494.666667  713.000000   291.666667  478.666667   133.000000  2347.333333
     DET     5         5       0     7     16     5    919   2220    553    746    136     406     880   1286     572   711    213   537    137   2527      1945.0       565.0       154.0       456.0        273.0        745.0        473.0      744.0       272.0      520.0       136.0      2287.0  2109.666667   482.333333   168.666667   510.000000    329.333333    716.333333    497.333333  748.666667   290.000000  504.333333   132.000000  2354.333333
     DET     5         5       0     8     16     5    972   2261    595    785    158     380     931   1311     563   702    227   564    117   2697      2165.0       529.0       175.0       561.0        324.0        760.0        474.0      733.0       275.0      506.0       108.0      2384.0  2069.333333   521.333333   173.333333   516.666667    307.333333    745.000000    487.333333  735.000000   278.666667  507.333333   125.000000  2350.666667
