tmID_raw  tmID  franchID  confID  year  arena  name  o_fgm  o_fga  o_ftm  o_fta  o_3pm  o_oreb  o_dreb  o_reb  o_asts  o_pf  o_stl  o_to  o_blk  o_pts  prev_d_fga  prev_d_ftm  prev_d_3pm  prev_d_3pa  prev_d_oreb  prev_d_dreb  prev_d_asts  prev_d_pf  prev_d_stl  prev_d_to  prev_d_blk  prev_d_pts  roll3_d_fga  roll3_d_ftm  roll3_d_3pm  roll3_d_3pa  roll3_d_oreb  roll3_d_dreb  roll3_d_asts  roll3_d_pf  roll3_d_stl  roll3_d_to  roll3_d_blk  roll3_d_pts
     CHA     0         0       0     1      3     0    812   1903    431    577    131     305     630    935     551   713    222   496     90   2186         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CHA     0         0       0     2      3     0    746   1780    410    528    153     309     639    948     467   605    217   474    114   2055      1930.0       533.0       138.0       423.0        326.0        664.0        596.0      596.0       259.0      426.0       123.0      2429.0       1930.0        533.0        138.0        423.0         326.0         664.0         596.0       596.0        259.0       426.0        123.0       2429.0
     CHA     0         0       0     3      3     0    770   1790    490    663    211     302     653    955     496   647    241   408    105   2241      1846.0       431.0       114.0       369.0        344.0        567.0        443.0      579.0       257.0      447.0       124.0      2009.0       1888.0        482.0        126.0        396.0         335.0         615.5         519.5       587.5        258.0       436.5        123.5       2219.0
     CLE     1         1       0     1      9     1    809   1828    426    570    141     331     603    934     539   647    259   538     91   2185         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CLE     1         1       0     2      9     1    763   1770    372    505    106     297     662    959     503   532    267   444     83   2004      1761.0       455.0       119.0       368.0        277.0        596.0        540.0      693.0       305.0      552.0        95.0      2122.0       1761.0        455.0        119.0        368.0         277.0         596.0         540.0       693.0        305.0       552.0         95.0       2122.0
     CLE     1         1       0     3      9     1    760   1820    430    553    121     295     674    969     480   567    221   451     83   2071      1745.0       328.0       132.0       417.0        297.0        594.0        434.0      597.0       225.0      496.0       127.0      1788.0       1753.0        391.5        125.5        392.5         287.0         595.0         487.0       645.0        265.0       524.0        111.0       1955.0
     DET     2         3       0     1     13     2    868   1980    519    699     76     341     644    985     503   701    260   530     88   2331         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     DET     2         3       0     2     13     2    774   1914    412    542    143     324     621    945     469   602    225   498     82   2103      1967.0       480.0       136.0       372.0        331.0        640.0        513.0      672.0       284.0      543.0       148.0      2426.0       1967.0        480.0        136.0        372.0         331.0         640.0         513.0       672.0        284.0       543.0        148.0       2426.0
     DET     2         3       0     3     13     2    766   1919    472    651    110     360     719   1079     478   609    201   541    132   2114      1837.0       446.0       127.0       340.0        279.0        702.0        438.0      591.0       262.0      483.0       109.0      2269.0       1902.0        463.0        131.5        356.0         305.0         671.0         475.5       631.5        273.0       513.0        128.5       2347.5
     HOU     3         4       1     1      4     3    891   1894    521    634    172     273     724    997     494   554    284   440    104   2475         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     HOU     3         4       1     2      4     3    747   1908    415    539    138     348     710   1058     426   509    251   436     95   2047      1938.0       370.0       124.0       418.0        290.0        612.0        473.0      648.0       233.0      480.0        85.0      2066.0       1938.0        370.0        124.0        418.0         290.0         612.0         473.0       648.0        233.0       480.0         85.0       2066.0
     HOU     3         4       1     3      4     3    755   1778    453    585    109     299     702   1001     450   467    260   455    126   2072      1883.0       362.0       152.0       456.0        297.0        685.0        452.0      561.0       248.0      433.0       120.0      1994.0       1910.5        366.0        138.0        437.0         293.5         648.5         462.5       604.5        240.5       456.5        102.5       2030.0
