tmID_raw  tmID  franchID  confID  year  arena  name  o_fgm  o_fga  o_ftm  o_fta  o_3pm  o_oreb  o_dreb  o_reb  o_asts  o_pf  o_stl  o_to  o_blk  o_pts  prev_d_fga  prev_d_ftm  prev_d_3pm  prev_d_3pa  prev_d_oreb  prev_d_dreb  prev_d_asts  prev_d_pf  prev_d_stl  prev_d_to  prev_d_blk  prev_d_pts  roll3_d_fga  roll3_d_ftm  roll3_d_3pm  roll3_d_3pa  roll3_d_oreb  roll3_d_dreb  roll3_d_asts  roll3_d_pf  roll3_d_stl  roll3_d_to  roll3_d_blk  roll3_d_pts
     CHA     0         0       0     1      4     0    812   1903    431    577    131     305     630    935     551   713    222   496     90   2186         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CHA     0         0       0     2      4     0    746   1780    410    528    153     309     639    948     467   605    217   474    114   2055      1930.0       533.0       138.0       423.0        326.0        664.0        596.0      596.0       259.0      426.0       123.0      2429.0  1930.000000   533.000000   138.000000   423.000000    326.000000    664.000000    596.000000  596.000000   259.000000  426.000000   123.000000  2429.000000
     CHA     0         0       0     3      4     0    770   1790    490    663    211     302     653    955     496   647    241   408    105   2241      1846.0       431.0       114.0       369.0        344.0        567.0        443.0      579.0       257.0      447.0       124.0      2009.0  1888.000000   482.000000   126.000000   396.000000    335.000000    615.500000    519.500000  587.500000   258.000000  436.500000   123.500000  2219.000000
     CHA     0         0       0     4      4     0    787   1881    456    590    187     342     629    971     499   697    279   497    115   2217      1807.0       444.0       133.0       372.0        295.0        620.0        489.0      600.0       208.0      424.0       103.0      2133.0  1861.000000   469.333333   128.333333   388.000000    321.666667    617.000000    509.333333  591.666667   241.333333  432.333333   116.666667  2190.333333
     CHA     0         0       0     5      4     0    745   1744    436    590    166     256     616    872     426   648    210   479    134   2092      1902.0       477.0       138.0       407.0        386.0        621.0        491.0      606.0       264.0      469.0       104.0      2195.0  1851.666667   450.666667   128.333333   382.666667    341.666667    602.666667    474.333333  595.000000   243.000000  446.666667   110.333333  2112.333333
     CHA     0         0       0     6      4     0    772   1913    447    624    104     316     609    925     493   727    284   535    113   2095      1932.0       438.0       130.0       349.0        368.0        628.0        516.0      595.0       243.0      437.0       114.0      2168.0  1880.333333   453.000000   133.666667   376.000000    349.666667    623.000000    498.666667  600.333333   238.333333  443.333333   107.000000  2165.333333
     CLE     1         1       0     1     11     1    809   1828    426    570    141     331     603    934     539   647    259   538     91   2185         NaN         NaN         NaN         NaN          NaN          NaN          NaN        NaN         NaN        NaN         NaN         NaN          NaN          NaN          NaN          NaN           NaN           NaN           NaN         NaN          NaN         NaN          NaN          NaN
     CLE     1         1       0     2     11     1    763   1770    372    505    106     297     662    959     503   532    267   444     83   2004      1761.0       455.0       119.0       368.0        277.0        596.0        540.0      693.0       305.0      552.0        95.0      2122.0  1761.000000   455.000000   119.000000   368.000000    277.000000    596.000000    540.000000  693.000000   305.000000  552.000000    95.000000  2122.000000
     CLE     1         1       0     3     11     1    760   1820    430    553    121     295     674    969     480   567    221   451     83   2071      1745.0       328.0       132.0       417.0        297.0        594.0        434.0      597.0       225.0      496.0       127.0      1788.0  1753.000000   391.500000   125.500000   392.500000    287.000000    595.000000    487.000000  645.000000   265.000000  524.000000   111.000000  1955.000000
     CLE     1         1       0     4     11     1    815   1975    464    643    135     349     720   1069     517   639    226   466     86   2229      1834.0       397.0       149.0       441.0        278.0        640.0        530.0      613.0       242.0      428.0       109.0      2140.0  1780.000000   393.333333   133.333333   408.666667    284.000000    610.000000    501.333333  634.333333   257.333333  492.000000   110.333333  2016.666667
