playerID,year,stint,tmID,GP,GS,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,ftAttempted,threeAttempted,dq,PostGP,PostGS,PostPoints,PostoRebounds,PostdRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostthreeAttempted,PostDQ
hicksje01w,1,0,ORL,26,1,157,38,13,13,4,2,7,17,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hicksje01w,2,0,ORL,32,5,456,169,38,54,22,23,17,53,85,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hicksje01w,3,0,ORL,31,6,471,190,60,42,23,19,25,51,77,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hicksje01w,4,0,CON,27,0,253,98,23,25,6,11,9,26,47,25,0,0,4,0,10,3,3,1,0,1,2,5,0,0,0
hicksje01w,5,0,SAS,27,10,371,127,23,34,18,17,13,34,57,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hillec01w,1,0,CHA,26,0,213,39,8,15,14,5,1,25,33,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hillec01w,2,0,PHO,3,0,8,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hledeko01w,1,0,UTA,31,31,867,312,25,68,92,38,4,76,84,70,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hledeko01w,2,0,UTA,27,10,455,151,15,25,43,25,1,42,56,38,23,0,2,0,4,1,2,1,1,0,3,1,0,2,0
hledeko01w,3,0,NYL,16,0,129,26,4,12,12,6,2,21,24,9,1,0,2,0,3,2,1,1,1,0,2,1,4,0,0
hodgedo01w,5,0,LAS,24,3,245,43,3,19,16,10,2,17,9,10,17,0,3,0,5,0,4,4,1,0,3,0,0,1,0
hodgedo01w,6,0,LAS,32,11,669,178,8,39,77,18,7,48,35,25,69,0,2,0,3,0,1,2,1,0,2,0,0,2,0
hodgedo01w,7,0,LAS,34,3,456,131,9,33,66,14,4,43,26,23,61,0,5,0,9,3,2,6,1,0,3,3,0,5,0
hodgedo01w,8,0,SEA,6,0,33,10,0,2,6,1,0,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hodgedo01w,9,0,IND,8,0,56,16,2,4,2,3,1,6,2,0,7,0,2,0,8,0,2,3,0,0,3,3,0,5,0
hodgero01w,6,0,HOU,26,0,188,33,9,8,7,3,0,3,8,2,26,0,2,0,0,0,0,0,1,0,1,0,0,0,0
hodgero01w,7,0,HOU,33,8,698,247,11,54,32,16,4,36,40,39,120,0,2,0,14,3,0,1,0,0,0,1,4,8,0
hodgero01w,8,0,HOU,29,4,331,102,8,22,27,13,0,20,21,22,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hodgero01w,9,0,HOU,15,6,274,110,5,25,19,5,2,10,11,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hodgero01w,10,0,MIN,33,27,902,328,20,79,64,21,15,36,54,33,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoffmeb01w,5,0,IND,30,13,334,60,34,53,21,15,5,27,51,4,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hoffmeb01w,6,0,IND,33,0,497,120,34,63,16,21,10,23,59,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoffmeb01w,7,0,IND,34,33,851,218,73,120,46,37,16,73,104,70,8,1,2,2,12,2,4,1,3,4,3,10,5,0,1
hoffmeb01w,8,0,IND,34,10,582,144,40,97,26,21,18,41,69,34,5,0,4,0,10,3,6,1,0,1,2,3,0,2,0
hoffmeb01w,9,0,IND,33,33,1013,342,94,164,61,47,26,79,121,41,57,3,3,3,34,4,21,5,6,2,3,11,3,11,0
hoffmeb01w,10,0,IND,34,34,1005,338,56,143,52,57,12,82,106,77,72,3,10,10,119,11,37,8,11,5,18,38,22,15,0
holdsch01w,1,0,WAS,32,32,1131,561,57,183,80,47,18,93,74,128,39,0,2,2,30,3,8,1,3,1,6,2,4,1,0
holdsch01w,2,0,WAS,29,29,975,486,72,184,66,44,14,94,49,148,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holdsch01w,3,0,WAS,20,20,634,397,54,178,45,20,6,45,50,106,28,0,5,5,94,10,33,16,10,3,10,14,30,11,0
holdsch01w,4,0,WAS,27,27,948,554,72,222,89,34,15,72,74,155,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holdsch01w,5,0,WAS,23,22,801,437,51,140,56,39,18,57,67,132,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holdsch01w,6,0,LAS,33,33,1183,561,86,137,104,38,16,99,94,160,13,2,2,2,31,3,7,2,4,0,6,6,5,1,0
holdsch01w,7,0,LAS,25,0,739,375,57,95,56,34,9,57,58,86,15,0,3,1,13,4,7,4,1,2,3,3,0,2,0
holdsch01w,8,0,LAS,5,5,150,79,9,19,15,6,3,26,14,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holdsch01w,10,0,ATL,25,25,708,348,29,80,56,34,7,74,60,93,30,0,1,0,3,2,1,0,0,0,3,2,1,1,0
hollake01w,1,0,SAC,32,32,934,312,28,42,81,43,5,74,63,66,122,1,2,2,19,3,5,6,3,0,1,3,2,9,0
hollake01w,2,0,SAC,32,32,874,322,33,42,69,56,5,66,62,60,150,0,5,5,69,2,16,7,8,2,7,10,16,27,0
hollake01w,3,0,SAC,32,32,902,296,28,62,63,41,5,81,74,72,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hollake01w,4,0,DET,34,2,694,312,12,45,63,36,3,59,26,63,124,0,8,0,65,2,10,15,10,0,12,7,10,32,0
hollake01w,5,0,HOU,27,21,703,177,19,47,53,40,3,47,51,41,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hollake01w,7,0,DET,34,0,397,140,12,28,43,23,2,40,29,16,84,0,8,0,0,1,2,5,1,0,4,5,0,6,0
holliqu01w,10,0,MIN,34,1,434,164,47,63,5,12,8,34,65,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holmejo01w,1,0,DET,29,0,271,91,17,28,14,11,4,16,36,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holmese01w,9,0,HOU,17,3,203,52,12,23,11,8,1,14,19,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holtam01w,9,0,CON,34,34,714,222,37,68,65,15,5,31,67,45,76,0,3,1,11,4,8,4,1,0,2,2,4,6,0
holtam01w,10,0,CON,23,7,380,137,13,61,44,9,2,14,39,53,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hopeky01w,1,0,UTA,3,0,4,2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hornbal01w,9,0,DET,34,0,747,184,53,85,71,79,10,49,97,66,45,1,9,0,57,12,32,19,11,7,12,21,20,16,0
hornbal01w,10,0,DET,32,21,850,213,46,112,86,42,9,69,93,48,64,2,5,5,53,8,22,20,9,3,16,19,6,9,1
houstch01w,9,0,MIN,33,0,581,292,27,95,28,30,13,55,70,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
houstch01w,10,0,MIN,34,33,792,445,44,142,59,43,21,64,107,99,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0
humphta01w,9,1,DET,22,16,297,160,25,38,22,13,6,24,59,22,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0
humphta01w,9,2,WAS,8,7,212,89,10,39,9,4,2,21,32,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humphta01w,10,2,MIN,19,4,340,150,9,50,8,12,6,14,54,26,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humphta01w,10,1,WAS,9,0,67,20,4,9,3,1,3,6,15,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irvinsa01w,6,0,PHO,12,0,122,44,16,18,5,5,6,2,20,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irvinsa01w,7,0,PHO,7,0,38,7,2,8,1,2,8,3,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irvinsa01w,8,0,SAS,23,0,128,27,16,24,7,3,10,11,20,2,4,0,3,0,2,0,1,0,0,1,1,2,0,0,0
irvinsa01w,9,0,SAS,21,0,116,26,10,26,2,3,5,7,19,11,4,0,3,0,2,1,0,1,0,1,0,0,0,0,0
ivanyda01w,1,0,UTA,27,16,489,93,12,42,63,25,3,50,67,28,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ivanyda01w,4,0,PHO,4,0,34,6,2,2,2,0,1,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ivanyda01w,6,0,SAS,30,14,577,75,5,45,68,26,0,53,48,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ivanyda01w,7,0,SAS,31,1,322,42,7,34,50,12,0,19,38,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iveyni01w,2,0,IND,32,26,708,115,16,39,70,33,5,35,51,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
