bioID,pos,height,weight,college
currimo01w,F,72.0,177,Duke
curryed01w,G,64.0,138,Oregon
dalesst01w,G-F,72.0,155,Oklahoma
daleygr01w,G,66.0,147,Tulane
darlihe01w,G,66.0,164,Penn State
davenje01w,C,77.0,215,Ohio State
davisbr01w,G,72.0,172,Oregon
daviscl01w,F,73.0,165,Texas
davisde01w,G,67.0,138,Vanderbilt
davisla01w,G,67.0,145,Tennessee
davista01w,F,70.0,160,Washington
dedenka01w,F,76.0,170,Washington
deforan01w,G,70.0,160,Nebraska
derevje01w,G,70.0,140,George Mason
dickeke01w,F,71.0,165,Texas Tech
dillata01w,G,69.0,154,Texas
dixonta01w,G,69.0,148,Kansas
doagela01w,G,66.0,137,Nebraska
domonna01w,G,70.0,132,Iowa
donapbe01w,F-C,74.0,195,Stanford
doronsh01w,G,69.0,145,Maryland
douglka01w,G-F,72.0,167,Purdue
duffyme01w,G,67.0,135,Notre Dame
dunlavi01w,F,73.0,160,Kentucky
dupreca01w,F,74.0,162,Temple
dydekka01w,F-C,79.0,190,Evangel
edwarmi01w,G,69.0,150,Rutgers
edwarsi01w,C,76.0,164,Iowa
edwarte01w,G-F,71.0,155,Georgia
edwarto01w,G,70.0,160,Tennessee
elysh01w,F,74.0,182,Tennessee
enissh01w,F-C,73.0,185,Alabama
erbsu01w,C,78.0,240,North Carolina State
ervinla01w,F,76.0,171,Arkansas
evansde01w,G,64.0,125,Virginia
farriba01w,C-F,75.0,200,Tulane
feastal01w,F,71.0,168,Harvard
ferdima01w,G,69.0,153,Louisiana State
figgsuk01w,G,69.0,142,Purdue
fijalis01w,C,77.0,200,Colorado
firsool01w,C,78.0,215,Kansas State
floremi01w,G,66.0,125,Stanford
flukety01w,C,77.0,209,Tennessee
folklkr01w,F,74.0,190,Stanford
fordch01w,F,75.0,198,Louisiana Tech
fordki01w,G-F,70.0,153,Georgia Tech
fordst01w,F,74.0,185,Georgia
fosteto01w,F,73.0,175,Iowa
fowlesy01w,C,78.0,200,Louisiana State
francde01w,F,70.0,193,Iowa State
frankaq01w,G,64.0,154,Texas A&M
frazeme01w,F,75.0,191,Liberty
freemla01w,F,73.0,175,Auburn
fresest01w,G,68.0,126,Iowa State
frettla01w,F,75.0,170,Georgia
friertr01w,F,74.0,186,Louisiana Tech
frostsh01w,C,76.0,184,Tennessee
futreca01w,G,70.0,154,Duquesne
gaithka01w,C,75.0,170,Notre Dame
gamblam01w,F,70.0,163,Arizona
ganttr01w,C,74.0,181,Lamar
gardike01w,F,73.0,168,Virginia Tech
gardnan01w,F-C,75.0,190,Howard
garnean01w,F-C,75.0,160,Penn State
gaydeco01w,G,69.0,150,Louisiana State
gaypi01w,G-F,71.0,183,Louisiana State
gearlka01w,G-F,73.0,184,Purdue
gessiki01w,F,75.0,175,USC
gibsoke01w,F-G,70.0,136,Maryland
gilloje01w,F-C,75.0,180,Mississippi
gilmous01w,G,71.0,158,Rutgers
gisseka01w,F,73.0,178,Penn State
godbyli01w,F-C,78.0,163,Auburn
goodemo01w,G,66.0,130,Stanford
goodeti01w,F,71.0,165,Iowa
goodlsa01w,C,77.0,239,Georgia Tech
goodsad01w,F,72.0,165,Old Dominion
gordobr01w,F,72.0,159,Tennessee
goringi01w,C,79.0,225,North Carolina State (jr-sr)
gortmsh01w,G,70.0,158,South Carolina
grahama01w,C,75.0,240,Houston
granter01w,G,68.0,125,Texas Tech
gravede01w,C,77.0,212,Howard
graylal01w,G,68.0,176,California
grecomi01w,G,69.0,145,UCLA
greenci01w,C,77.0,183,Texas Tech
greenka01w,G,70.0,170,Connecticut
griffke01w,F,74.0,179,Nebraska
griffyo01w,C-F,75.0,188,Florida Atlantic
groomla01w,G-F,70.0,160,Georgia
guytowa01w,F,73.0,178,South Florida
hairska01w,F,72.0,150,Temple
hallam01w,F,75.0,180,Washington
hallvi01w,F,73.0,180,Texas
hamblan01w,G,70.0,170,Iowa
hammobe01w,G,66.0,136,Colorado State
hamptky01w,F,74.0,210,Arizona State
hardili01w,G,68.0,139,Duke
hardish01w,G,69.0,165,Louisiana Tech
harpela01w,F-C,77.0,190,Maryland
harriam01w,F,77.0,202,Xavier
harrido01w,F,75.0,190,Old Dominion
harrifr01w,G,72.0,154,Texas
harrili01w,F,73.0,164,Tennessee
haydeva01w,C,76.0,240,Florida
haynikr01w,G,69.0,147,Michigan State
headde01w,G,70.0,160,Tennessee
hedgpch01w,G,69.0,143,Stanford
hendene01w,G,68.0,144,Texas
hendetr01w,C,75.0,200,Georgia
henniso01w,G,67.0,143,Stanford
henryan01w,F,75.0,205,Florida
herriam01w,C,76.0,189,Iowa
hibbeka01w,G-F,70.0,140,Louisiana State
hicksje01w,F-C,76.0,188,Maryland
hightal01w,G,70.0,139,Louisiana State
hillec01w,G,67.0,173,Northern Illinois
hledeko01w,G,69.0,150,Duquesne
hodgeda01w,G-F,73.0,170,St. Joseph's
hodgedo01w,G,69.0,160,Louisiana State
hodgero01w,G,71.0,165,Florida State
hoffmeb01w,F,74.0,215,USC
holdsch01w,F,74.0,172,Tennessee
hollake01w,G,68.0,129,Georgia
holliqu01w,C,77.0,201,Virginia Commonwealth
holmejo01w,F,70.0,150,Purdue
holmese01w,G-F,73.0,155,UNLV
holtam01w,F,72.0,168,Middle Tennessee State
hopeky01w,C,74.0,165,Miami (FL)
hopsosu01w,F-C,74.0,175,Mars Hill
hornbal01w,G,71.0,155,Tennessee
houstch01w,F,72.0,189,Connecticut
houtsas01w,G,66.0,140,Georgia
howarje01w,G,66.0,130,North Carolina State
howarme01w,G,69.0,145,SW Missouri State
hudsopa01w,F,71.0,139,Northwestern State
humphta01w,C,75.0,190,Georgia
irvinsa01w,F,75.0,185,Texas Christian
ivanyda01w,G,70.0,135,Florida International
iveyni01w,G,67.0,149,Notre Dame
jacksan01w,C,76.0,205,Texas
jacksde01w,F,74.0,155,Alabama-Birmingham
jacksgw01w,F,75.0,182,Tennessee
jacksta01w,F-C,75.0,179,Florida
jacksta02w,G,66.0,118,Louisiana Tech
jacksti01w,F,71.0,148,Iowa
jacksti02w,F,75.0,185,Texas
jacobam01w,G,68.0,152,Boston College
jacobje01w,G,68.0,130,Purdue
jamesta01w,F,69.0,158,Miami (FL)
januabr01w,G,68.0,144,Arizona State
joensca01w,G-F,71.0,165,George Washington
johnsad01w,G,70.0,154,Ohio State
johnsch01w,C,75.0,185,Wisconsin-Green Bay
johnsda01w,C,74.0,197,Tennessee
johnsgl01w,F,75.0,170,Tennessee
johnsja01w,F,72.0,201,Kansas
johnsla01w,F,73.0,150,Memphis
johnsle01w,F,74.0,220,Western Kentucky
johnsni01w,G,69.0,146,Alabama
johnspo01w,C,75.0,165,Michigan
johnssh01w,G,67.0,152,South Carolina
johnste01w,G,63.0,132,Louisiana State
johnsti01w,C,76.0,240,Tennessee
johnsvi01w,G-F,69.0,150,Louisiana Tech
jollyke01w,G,69.0,148,Tennessee
jonesas01w,F,74.0,196,Connecticut
jonesch01w,G-F,69.0,150,Houston
jonesja01w,G,69.0,158,UNC Charlotte
jonesla01w,G,73.0,180,Ohio State
jonesma01w,G,70.0,150,North Carolina
jonesme01w,G,69.0,147,Florida
jordapa01w,C,75.0,205,UNLV
joyneja01w,F,70.0,154,UCLA
kaplaan01w,C,77.0,180,Stanford
kausaan01w,F,72.0,155,Emporia State
kellycr01w,F,74.0,190,Western Kentucky
kingbsu01w,G,67.0,135,Stanford
kizerly01w,F-C,76.0,215,Maryland
klimezu01w,F,74.0,181,Vanderbilt
koehnla01w,G,68.0,145,Kansas State
kossgr01w,F,73.0,145,Montana
kostita01w,F,73.0,163,Oregon State
kraayca01w,F,76.0,180,Oregon
kubikni01w,G,69.0,145,Nebraska
laceyal01w,G,72.0,159,Iowa State
lacyje01w,F,75.0,175,Pepperdine
lacyna01w,G,70.0,165,UTEP (sr)
lacyve01w,C,76.0,234,Louisiana Tech
lambesh01w,G,67.0,125,Baylor
lambmo01w,C,77.0,206,USC
langeme01w,F-C,78.0,205,UNLV
langhcr01w,F-C,74.0,184,Maryland
langja01w,F,72.0,185,Colorado
larkier01w,F,73.0,210,North Carolina
lassiam01w,F,73.0,160,Missouri
lattaiv01w,G,66.0,143,North Carolina
lavenja01w,C,76.0,185,Ohio State
lawsoka01w,G,69.0,165,Tennessee
lehnish01w,G,69.0,147,Kansas State
lennobe01w,G,68.0,143,Louisiana Tech
leslili01w,C,77.0,170,USC
leuchye01w,C,77.0,195,West Virginia
levanni01w,G,68.0,163,Xavier
levesni01w,G,63.0,115,Wake Forest
lewista01w,F-C,74.0,212,Louisiana Tech
lewisty01w,G,70.0,152,North Carolina State
liebena01w,G,70.0,150,Old Dominion
lilleta01w,G,66.0,130,Oregon
littlca01w,F,74.0,180,North Carolina
lloydan01w,F,74.0,175,Texas
lobore01w,F,76.0,190,Connecticut
lovelst01w,F,76.0,170,Purdue
luckepa01w,F,73.0,165,Houston
lyttlsa01w,F,76.0,175,Houston
machacl01w,C-F,77.0,180,Old Dominion
mahonme01w,F,72.0,160,Kansas State
mahonsh01w,F,76.0,178,Western Kentucky
maigaha01w,G-F,73.0,160,Old Dominion
malcona01w,F,73.0,170,Providence
malloam01w,G,64.0,148,St. Joseph's
malloso01w,C,77.0,210,Georgia Tech
mannish01w,F-C,75.0,186,North Carolina State
mannkr01w,F,73.0,185,UC Santa Barbara
mapprh01w,C,74.0,190,North Carolina State
marcimi01w,G,70.0,154,Tennessee
margiga01w,F,73.0,164,Drexel
martima01w,F,76.0,172,UCLA
maslemi01w,F,74.0,170,Penn State
matteca01w,G,69.0,167,Ohio State
matteka01w,C,80.0,240,Liberty
maxwean01w,F,71.0,186,New Mexico State
maxwemo01w,F,69.0,162,Louisiana Tech
mazzake01w,G,72.0,155,Penn State
mccaibr01w,G,63.0,135,Florida
mccaiti01w,G-F,70.0,167,Kentucky
mccanra01w,F,73.0,161,North Carolina
mccarja01w,C,74.0,205,Minnesota
mccarjo01w,G,67.0,130,Illinois-Chicago
mccarst01w,G-F,69.0,155,Purdue
mcclaka01w,F-C,74.0,180,Georgia
mcconsu01w,G,65.0,125,Penn State
mccouan01w,F,73.0,160,Louisville
mccrada01w,G-F,71.0,170,Kansas
mccrani01w,G,71.0,158,Tennessee
mccrini01w,G,68.0,125,USC
mcculda01w,F-C,75.0,180,Western Kentucky
mcgeepa01w,C-F,75.0,200,USC
mcgheca01w,F-C,73.0,179,Tennessee
mckivte01w,C-F,75.0,220,Tulane
mcwilta01w,F-C,74.0,188,St. Edwards
melvich01w,C-F,75.0,185,North Carolina State
mendigi01w,G,71.0,174,Washington
milleco01w,G,69.0,140,Georgia
milleke01w,G,70.0,140,Georgia
millsta01w,C,75.0,232,Alabama
miltode01w,F,73.0,185,Florida
mitchle01w,G,65.0,130,Utah
mizrali01w,G,67.0,130,Maryland
moeggli01w,F,73.0,195,Michigan State
monroja01w,C,77.0,162,Florida State
montaan01w,F,73.0,190,George Washington
montgal01w,G-F,73.0,185,Georgia Tech
montgre01w,G,67.0,139,Connecticut
mooreja01w,C,73.0,207,Long Beach State
mooreje01w,F-C,75.0,175,Connecticut
moorelo01w,G,69.0,165,Tennessee
moorema01w,F,72.0,175,Connecticut
moorena01w,G,70.0,145,Alabama
moorepe01w,F,72.0,135,Long Beach State
mooreta01w,G-F,71.0,167,Wisconsin
mooreyo01w,F,72.0,174,Mississippi
moosca01w,F-C,78.0,182,Stanford
morehmo01w,F-C,75.0,175,Auburn
morrije01w,G,69.0,146,San Diego State
morrila01w,F,73.0,160,Auburn
mosbybe01w,F,73.0,172,Baylor
mosleju01w,F,73.0,170,Hawai'i
moweje01w,C,77.0,236,Oregon
mulitna01w,C,75.0,207,Stanford
murphsh01w,G,71.0,164,USC
nagyan01w,G,67.0,147,Florida International
ndiayas01w,F-C,75.0,182,Southern Nazarene
neroja01w,F,71.0,180,Alabama-Birmingham
newtoch01w,G,71.0,154,Rutgers
ngarsch01w,C,75.0,168,Missouri
nichoti01w,G,63.0,146,Penn State
nieuwma01w,C,77.0,180,Valparaiso
nnamach01w,G,72.0,156,Georgia Tech
nolande01w,G-F,69.0,147,Georgia
novosna01w,G,71.0,165,Notre Dame
nygaava01w,F,73.0,166,Stanford
oheaje01w,G-F,73.0,174,Australian Institute of Sport
ohldeni01w,F-C,77.0,190,Kansas State
olajuab01w,C,76.0,236,Oklahoma
oneilkr01w,G-F,73.0,158,Washington
orrki01w,G,66.0,141,Duke
owenhe01w,F,77.0,212,Stanford
owenssh01w,C,74.0,175,Kentucky
pageda01w,F,74.0,179,Nebraska
pagemu01w,F,74.0,160,Florida
paigeyo01w,G,66.0,147,West Virginia
palmewe01w,F,74.0,165,Virginia
parisco01w,C,76.0,250,Oklahoma
parkeca01w,F,76.0,175,Tennessee
paschti01w,F,73.0,165,Florida State
pavlimi01w,F-C,75.0,175,Denver
payeka01w,G,68.0,150,Stanford
pederka01w,F,76.0,190,Stanford
penicti01w,G,71.0,145,Old Dominion
pennjo01w,F,72.0,160,South Carolina
perazja01w,G-F,72.0,170,Maryland
perkiji01w,G,68.0,155,Texas Tech
perpeer01w,F-G,75.0,181,The Master's College
perroki01w,G,65.0,130,SW Louisiana
peterde01w,F,74.0,170,Notre Dame
pettibr01w,G,69.0,150,Florida
phillpo01w,F,74.0,173,Georgia
phillta01w,F-C,74.0,200,Central Florida
phillta02w,C,78.0,198,Xavier
pierspl01w,F-C,74.0,181,Texas Tech
pohleje01w,G,72.0,179,Stanford
pollica01w,F,77.0,165,Texas
pondeca01w,G,69.0,160,Rutgers
potthan01w,F,73.0,191,Penn State
powelel01w,G,68.0,150,Louisiana State
powelni01w,F,74.0,175,Stanford
prahasa01w,G,67.0,129,Ohio State
pricear01w,G-F,69.0,133,Mississippi
pricefr01w,G,69.0,178,Iowa
priceka01w,G,70.0,148,Stephen F. Austin
pridely01w,F-G,74.0,180,Kansas
princep01w,G,69.0,167,Rutgers
pringla01w,F-C,75.0,162,North Carolina
queenbr01w,F,74.0,185,Boston College
quiglal01w,G,70.0,140,DePaul
quinnno01w,G,72.0,175,UCLA
quinnte01w,F,76.0,165,Seton Hall
raglafe01w,G,67.0,133,Oregon State
randase01w,G,69.0,164,Tennessee
rasmukr01w,F,76.0,174,Michigan State
ravenbr01w,G,72.0,162,Texas
raymost01w,G,65.0,139,Northern Illinois
raymota01w,F,74.0,195,Connecticut
reddja01w,F,73.0,164,Washington
reedbr01w,F,73.0,168,Southern Mississippi
reedch01w,F,73.0,165,Arkansas-Little Rock
reedmi01w,G,71.0,165,Western Kentucky
reidtr01w,F,71.0,150,North Carolina
reissta01w,G,66.0,129,Virginia
resska01w,F,76.0,194,Boston College
reynoch01w,F,74.0,180,Houston
rileyan01w,G,65.0,136,Oklahoma State
rileyru01w,C,77.0,198,Notre Dame
rizzoje01w,G,66.0,146,Connecticut
roberav01w,G,69.0,145,Ohio State
roberny01w,C,75.0,209,Old Dominion
robinas01w,C,76.0,180,Tennessee
robincr01w,F-G,71.0,155,SE Oklahoma State
robinda01w,G,69.0,125,Oklahoma
robinre01w,G,71.0,166,Virginia
robinsc01w,G,71.0,155,Louisiana State
rolanja01w,G-F,73.0,167,Purdue
rossad01w,G,68.0,142,Texas Christian
rouilni01w,G,67.0,130,Loyola Marymount
roundsa01w,G,67.0,145,Georgia
ruffje01w,G-F,71.0,140,Washington State
rushle01w,F,73.0,175,Oklahoma
ryankr01w,F,71.0,150,Sacramento State
rycraeu01w,C,75.0,175,Cal State Fullerton
salesny01w,G-F,72.0,184,Connecticut
sampsch01w,G,71.0,175,Kansas
samsh01w,F-G,72.0,160,Vanderbilt
sandeam01w,G,71.0,156,Hawai'i
sanfona01w,F-C,76.0,200,Kansas
sauerpa01w,C,76.0,203,Connecticut
saundja01w,F,71.0,145,Texas A&M
savasla01w,G,68.0,134,Washington
schumke01w,C,77.0,183,Connecticut
schwege01w,G-F,72.0,160,Duke
scottol01w,C,74.0,175,Stanford
scottra01w,F,75.0,169,Colorado
sharpkb01w,G,69.0,145,Cincinnati
sheetsh01w,G,66.0,130,Colorado
shielas01w,G,70.0,155,SW Tennessee CC
shulead01w,G,66.0,153,Georgia
simondy01w,G,65.0,137,Arizona State
simpsda01w,F,75.0,160,Houston
slaisma01w,G,68.0,173,Cincinnati
slauggw01w,F,75.0,181,Tulane
slavtge01w,G,73.0,160,Florida International
smithai01w,F,74.0,173,Louisiana State
smithbr01w,F-C,75.0,195,Stanford
smithch01w,G,67.0,140,Arkansas
smithch02w,F,70.0,145,Stanford
smithch03w,G,72.0,148,North Carolina
smithcr01w,G,66.0,121,Iowa
smithje01w,C,75.0,198,Michigan
smithka01w,G-F,71.0,174,Ohio State
smithki01w,F,73.0,158,Utah
smithla01w,G,67.0,150,Mississippi State
smithta01w,F-C,76.0,160,Iowa
smithwa01w,G,71.0,175,Duke
