playerID,year,tmID,minutes_pct_error,points_pct_error,oRebounds_pct_error,dRebounds_pct_error,assists_pct_error,steals_pct_error,blocks_pct_error,turnovers_pct_error,PF_pct_error,fgAttempted_pct_error,fgMade_pct_error,ftAttempted_pct_error,ftMade_pct_error,threeMade_pct_error
elysh01w,10,CHI,26.5%,48.9%,17.9%,24.0%,26.7%,3.3%,25.6%,25.6%,13.3%,52.7%,45.7%,40.1%,34.3%,85.0%
ervinla01w,10,CON,525.0%,587.7%,485.0%,430.8%,1672.0%,978.0%,1013.1%,793.5%,567.8%,460.0%,410.1%,1864.1%,3106.2%,246.7%
farriba01w,10,DET,310.0%,674.8%,1099.0%,372.3%,234.5%,131.0%,490.6%,253.1%,248.4%,1119.3%,2437.7%,170.5%,165.6%,92.9%
ferdima01w,10,LAS,100.8%,67.0%,53.9%,138.4%,115.8%,59.9%,81.6%,117.4%,47.3%,68.9%,57.1%,103.0%,114.6%,190.8%
fordch01w,10,DET,11.8%,3.0%,5.0%,12.3%,0.7%,20.0%,8.2%,23.2%,26.4%,10.9%,12.9%,9.8%,22.1%,62.4%
fowlesy01w,10,CHI,38.2%,31.0%,30.4%,30.4%,13.1%,26.6%,9.6%,51.7%,17.8%,11.3%,37.0%,43.4%,40.2%,68.6%
frankaq01w,10,SEA,1457.8%,6452.1%,489.6%,1034.4%,4218.3%,1044.4%,95.0%,2568.0%,1422.1%,1315.5%,2283.2%,1143.5%,857.1%,624.6%
frazeme01w,10,SAS,42.2%,6.7%,18.8%,9.1%,8.2%,72.9%,104.9%,44.9%,18.0%,4.5%,0.7%,17.7%,18.6%,101.9%
gardike01w,10,CON,17.1%,12.0%,36.3%,32.9%,8.2%,8.8%,82.1%,8.0%,9.6%,10.9%,9.9%,62.0%,51.8%,143.2%
gearlka01w,10,SEA,84.6%,119.9%,175.3%,61.4%,136.5%,83.4%,31.4%,80.3%,113.4%,108.9%,117.9%,511.6%,424.9%,87.3%
griffyo01w,10,IND,1163.2%,913.6%,1530.7%,3112.7%,3160.9%,3122.3%,608.7%,1240.2%,1358.2%,1196.6%,1160.4%,1041.4%,799.3%,72.0%
grudasa01w,10,CON,32.4%,32.6%,31.1%,19.2%,32.7%,22.8%,42.0%,37.7%,27.5%,42.6%,45.9%,33.3%,5.3%,23.2%
hammobe01w,10,SAS,10.2%,24.4%,53.5%,13.5%,15.3%,36.8%,56.3%,17.9%,2.8%,22.1%,32.1%,22.4%,16.2%,17.9%
hardili01w,10,WAS,53.8%,66.6%,47.5%,63.2%,56.8%,49.1%,68.7%,53.7%,24.7%,66.3%,64.5%,53.8%,54.3%,71.5%
harpela01w,10,SAC,29.7%,27.3%,26.0%,27.0%,4.5%,46.1%,16.4%,7.7%,25.4%,48.3%,77.9%,17.2%,4.0%,20.5%
harrokr01w,10,LAS,14.8%,3.4%,63.7%,17.8%,4.4%,43.6%,92.7%,27.0%,12.0%,22.6%,21.4%,63.0%,3.5%,86.7%
haydeva01w,10,LAS,37.9%,95.1%,51.1%,103.4%,126.9%,159.6%,7.6%,90.2%,44.3%,43.2%,77.3%,87.8%,106.9%,51.4%
haynikr01w,10,DET,117.6%,61.1%,63.9%,42.5%,267.4%,6.6%,230.6%,222.7%,98.5%,76.2%,32.5%,141.0%,80.4%,121.2%
haynikr01w,10,SAC,58.2%,22.5%,87.8%,42.8%,25.4%,6.9%,57.2%,32.7%,76.1%,31.8%,51.8%,29.4%,8.2%,54.2%
hodgero01w,10,MIN,60.6%,63.6%,73.0%,66.8%,64.1%,53.9%,88.3%,57.6%,54.1%,56.1%,59.3%,58.6%,54.5%,59.1%
hoffmeb01w,10,IND,28.7%,33.7%,0.5%,29.8%,15.8%,42.8%,50.1%,34.7%,22.8%,35.6%,27.5%,44.9%,47.4%,23.7%
holdsch01w,10,ATL,22.1%,32.5%,23.2%,23.0%,34.1%,44.2%,6.6%,50.5%,7.3%,47.8%,41.6%,25.8%,37.5%,7.4%
holliqu01w,10,MIN,48.3%,37.1%,55.7%,38.8%,148.1%,14.9%,56.9%,5.0%,51.2%,46.2%,57.7%,29.4%,11.4%,69.0%
holtam01w,10,CON,51.1%,39.3%,102.1%,9.6%,0.9%,69.7%,120.9%,145.3%,28.3%,45.1%,91.5%,19.0%,29.3%,82.5%
hornbal01w,10,DET,25.8%,18.2%,34.7%,43.5%,33.5%,2.6%,31.7%,43.5%,31.6%,35.7%,33.1%,16.8%,41.6%,64.4%
houstch01w,10,MIN,9.2%,26.0%,13.6%,24.5%,32.0%,26.6%,27.0%,4.3%,25.8%,25.2%,25.4%,1.9%,0.5%,80.6%
humphta01w,10,MIN,7.4%,34.9%,74.5%,29.7%,48.6%,38.1%,0.2%,43.6%,38.6%,33.0%,33.9%,16.4%,27.9%,63.5%
humphta01w,10,WAS,400.9%,490.1%,394.2%,311.3%,400.6%,532.2%,91.8%,253.1%,159.2%,272.3%,546.3%,441.9%,483.0%,396.2%
jacksla01w,10,SEA,7.4%,1.3%,13.6%,18.3%,117.8%,13.4%,15.9%,34.5%,12.7%,9.9%,7.3%,4.3%,3.5%,19.0%
jacksti02w,10,NYL,16.7%,15.3%,36.7%,12.2%,2.0%,22.0%,21.0%,2.0%,8.9%,12.8%,18.8%,6.0%,2.8%,141.7%
januabr01w,10,IND,39.9%,45.2%,23.8%,7.1%,48.3%,38.5%,34.5%,49.5%,51.9%,42.1%,44.7%,46.5%,43.0%,53.1%
jekaban01w,10,CON,59.2%,67.1%,25.9%,67.5%,51.7%,21.7%,270.3%,57.1%,61.1%,71.2%,69.1%,37.4%,39.7%,58.2%
johnssh01w,10,SEA,42.6%,50.6%,64.7%,30.6%,158.7%,59.5%,30.1%,25.9%,31.6%,52.4%,68.0%,16.9%,0.0%,39.0%
johnste01w,10,PHO,49.1%,75.0%,30.1%,66.7%,54.4%,19.7%,65.4%,44.5%,45.9%,67.5%,74.6%,48.3%,52.8%,85.6%
johnsvi01w,10,SAS,2.2%,16.1%,44.4%,10.6%,14.9%,59.0%,1.9%,5.0%,7.9%,8.5%,9.1%,38.4%,20.4%,51.9%
jonesas01w,10,CON,21.5%,16.4%,52.2%,31.0%,12.4%,15.1%,57.9%,37.8%,5.6%,13.3%,11.9%,48.1%,45.5%,22.6%
kellycr01w,10,DET,510.7%,551.1%,505.3%,659.4%,555.3%,362.7%,626.8%,239.1%,281.7%,708.7%,665.0%,423.8%,341.2%,231.3%
kellycr01w,10,SAC,29.0%,51.3%,35.5%,112.4%,95.0%,21.5%,152.1%,15.8%,17.5%,46.6%,66.9%,16.7%,9.7%,231.0%
kraayca01w,10,NYL,21.4%,16.6%,2.5%,17.5%,20.2%,4.2%,45.4%,27.5%,5.7%,21.7%,21.4%,16.6%,7.7%,28.3%
lacyje01w,10,ATL,14.7%,31.6%,6.3%,3.1%,79.7%,46.5%,31.9%,30.4%,2.9%,6.4%,20.5%,22.4%,22.6%,33.7%
langhcr01w,10,WAS,55.6%,62.6%,58.6%,54.0%,61.3%,57.2%,45.3%,63.7%,30.4%,60.4%,63.6%,62.6%,67.1%,43.6%
larkier01w,10,NYL,210.7%,186.1%,233.9%,178.9%,107.9%,46.3%,88.6%,129.9%,199.1%,214.0%,268.2%,100.7%,86.6%,83.0%
lattaiv01w,10,ATL,153.2%,125.8%,446.9%,402.7%,164.8%,198.6%,284.3%,140.9%,81.0%,159.1%,143.6%,77.7%,62.6%,128.1%
lawsoed01w,10,SAS,26.4%,30.9%,22.8%,34.9%,32.0%,30.2%,17.4%,10.6%,47.9%,28.7%,31.0%,7.4%,30.0%,45.1%
lawsoka01w,10,SAC,31.8%,52.5%,62.9%,45.4%,1.1%,77.9%,254.2%,47.5%,99.7%,55.2%,56.7%,94.2%,80.0%,19.3%
lehnish01w,10,ATL,25.4%,38.6%,15.1%,23.9%,66.4%,26.5%,34.6%,26.9%,37.8%,42.0%,33.4%,69.4%,57.4%,74.1%
lennobe01w,10,LAS,28.4%,46.1%,13.1%,18.7%,36.7%,39.5%,8.1%,10.6%,3.8%,30.0%,34.8%,38.6%,45.3%,76.1%
leslili01w,10,LAS,52.0%,43.1%,44.8%,116.4%,41.2%,169.6%,116.8%,68.8%,49.1%,44.6%,29.6%,101.5%,86.0%,378.2%
littlca01w,10,SEA,56.7%,57.5%,58.6%,64.5%,45.6%,57.6%,43.9%,49.4%,54.6%,55.0%,54.7%,70.6%,69.5%,57.9%
lyttlsa01w,10,ATL,46.2%,58.3%,32.9%,44.0%,57.7%,48.9%,12.6%,45.7%,39.5%,55.5%,55.5%,47.3%,49.9%,104.9%
maigaha01w,10,SAC,23.3%,48.9%,19.1%,15.4%,1.8%,8.6%,23.8%,18.6%,31.0%,42.4%,49.2%,45.1%,39.5%,146.4%
mannkr01w,10,WAS,80.4%,83.8%,352.6%,94.0%,15.0%,82.1%,418.2%,366.6%,103.7%,56.9%,76.3%,370.3%,559.0%,61.6%
mazzake01w,10,PHO,23.7%,64.5%,73.9%,9.0%,153.4%,100.7%,1.6%,107.2%,18.1%,47.0%,44.4%,518.7%,617.4%,39.7%
mccanra01w,10,MIN,2.0%,15.0%,15.6%,42.3%,5.3%,34.0%,0.4%,29.8%,36.6%,18.7%,19.2%,32.5%,68.4%,43.9%
mccarja01w,10,NYL,5.3%,0.7%,16.1%,3.0%,40.1%,16.4%,47.7%,21.1%,4.3%,1.0%,0.1%,5.9%,11.7%,106.7%
mccouan01w,10,ATL,43.3%,70.3%,19.7%,20.4%,69.2%,76.3%,32.5%,63.4%,50.4%,60.2%,71.3%,63.4%,61.0%,56.3%
mcwilta01w,10,DET,43.9%,35.7%,38.0%,39.3%,62.0%,19.0%,18.2%,33.2%,43.4%,31.2%,34.1%,18.1%,24.5%,49.8%
melvich01w,10,WAS,11.6%,10.3%,26.6%,16.6%,11.7%,35.8%,52.5%,5.6%,22.0%,19.7%,6.6%,68.8%,109.7%,23.5%
millebr01w,10,DET,2083.4%,8241.3%,1952.0%,3081.5%,497.9%,701.1%,1029.7%,1614.1%,3405.5%,5712.7%,1916.6%,2537.6%,2366.5%,76.3%
milleco01w,10,ATL,16.2%,9.3%,29.4%,26.0%,22.4%,71.0%,24.9%,8.2%,3.8%,19.1%,16.7%,18.8%,25.2%,57.3%
milleke01w,10,MIN,18.1%,64.6%,62.8%,63.6%,80.2%,0.3%,77.7%,31.2%,7.7%,46.8%,63.2%,101.8%,98.4%,17.8%
miltode01w,10,LAS,20.1%,5.5%,5.9%,1.7%,17.9%,23.9%,109.1%,3.3%,7.9%,4.1%,3.6%,15.1%,19.3%,28.1%
mitchle01w,10,NYL,6.2%,4.4%,50.7%,22.3%,3.8%,32.8%,34.4%,28.3%,32.2%,50.6%,19.8%,169.6%,191.1%,11.5%
montaan01w,10,MIN,162.9%,305.9%,85.7%,404.1%,21.6%,44.4%,940.7%,160.5%,221.7%,222.5%,317.6%,1936.0%,1682.5%,25.3%
montgre01w,10,MIN,46.2%,53.6%,20.9%,41.7%,50.8%,20.7%,66.9%,58.8%,7.9%,53.5%,55.9%,48.1%,53.8%,71.3%
