tmID_raw  tmID  franchID  confID  year  arena  o_fgm  o_fga  o_ftm  o_fta  o_3pm  o_oreb  o_dreb  o_reb  o_asts  o_pf  o_stl  o_to  o_blk  o_pts  d_fga  d_ftm  d_3pm  d_3pa  d_oreb  d_dreb  d_asts  d_pf  d_stl  d_to  d_blk  d_pts  prev_won  roll3_won
     CHA     0         0       0     1      4    812   1903    431    577    131     305     630    935     551   713    222   496     90   2186   1930    533    138    423     326     664     596   596    259   426    123   2429       NaN        NaN
     CHA     0         0       0     2      4    746   1780    410    528    153     309     639    948     467   605    217   474    114   2055   1846    431    114    369     344     567     443   579    257   447    124   2009       8.0   8.000000
     CHA     0         0       0     3      4    770   1790    490    663    211     302     653    955     496   647    241   408    105   2241   1807    444    133    372     295     620     489   600    208   424    103   2133      18.0  13.000000
     CHA     0         0       0     4      4    787   1881    456    590    187     342     629    971     499   697    279   497    115   2217   1902    477    138    407     386     621     491   606    264   469    104   2195      18.0  14.666667
     CHA     0         0       0     5      4    745   1744    436    590    166     256     616    872     426   648    210   479    134   2092   1932    438    130    349     368     628     516   595    243   437    114   2168      18.0  18.000000
     CHA     0         0       0     6      4    772   1913    447    624    104     316     609    925     493   727    284   535    113   2095   1888    509    124    339     355     700     496   654    269   534    146   2335      16.0  17.333333
     CLE     1         1       0     1     11    809   1828    426    570    141     331     603    934     539   647    259   538     91   2185   1761    455    119    368     277     596     540   693    305   552     95   2122       NaN        NaN
     CLE     1         1       0     2     11    763   1770    372    505    106     297     662    959     503   532    267   444     83   2004   1745    328    132    417     297     594     434   597    225   496    127   1788      17.0  17.000000
     CLE     1         1       0     3     11    760   1820    430    553    121     295     674    969     480   567    221   451     83   2071   1834    397    149    441     278     640     530   613    242   428    109   2140      22.0  19.500000
     CLE     1         1       0     4     11    815   1975    464    643    135     349     720   1069     517   639    226   466     86   2229   1927    465    127    355     300     704     510   659    223   467    135   2210      10.0  16.333333
     CON     2         2       0     4     10    864   2102    479    646    177     333     762   1095     520   663    270   434    111   2384   2104    509    172    536     366     812     553   669    252   476     88   2409       NaN        NaN
     CON     2         2       0     5     10    876   2051    434    590    149     321     724   1045     572   610    299   462     96   2335   1996    443    145    384     306     757     565   627    239   492    113   2304      18.0  18.000000
     CON     2         2       0     6     10    916   2025    512    688    130     322     788   1110     573   624    236   452    130   2474   2100    452    122    400     350     728     495   675    258   442     79   2244      18.0  18.000000
     DET     3         3       0     1     15    868   1980    519    699     76     341     644    985     503   701    260   530     88   2331   1967    480    136    372     331     640     513   672    284   543    148   2426       NaN        NaN
     DET     3         3       0     2     15    774   1914    412    542    143     324     621    945     469   602    225   498     82   2103   1837    446    127    340     279     702     438   591    262   483    109   2269      14.0  14.000000
