tmID_raw  tmID  franchID  confID  year  arena  o_fgm  o_fga  o_ftm  o_fta  o_3pm  o_oreb  o_dreb  o_reb  o_asts  o_pf  o_stl  o_to  o_blk  o_pts  d_fga  d_ftm  d_3pm  d_3pa  d_oreb  d_dreb  d_asts  d_pf  d_stl  d_to  d_blk  d_pts  prev_won  roll3_won
     CON     3         3       0     6     10    916   2025    512    688    130     322     788   1110     573   624    236   452    130   2474   2100    452    122    400     350     728     495   675    258   442     79   2244      18.0  18.000000
     CON     3         3       0     7     10    982   2216    545    675    174     342     926   1268     630   530    252   514    153   2683   2357    358    163    508     370     783     528   646    273   486    103   2417      26.0  20.666667
     CON     3         3       0     8     10   1001   2327    478    615    195     354     868   1222     619   641    272   540    156   2675   2317    475    166    485     337     842     581   633    246   524     85   2593      26.0  23.333333
     DET     4         4       0     1     15    868   1980    519    699     76     341     644    985     503   701    260   530     88   2331   1967    480    136    372     331     640     513   672    284   543    148   2426       NaN        NaN
     DET     4         4       0     2     15    774   1914    412    542    143     324     621    945     469   602    225   498     82   2103   1837    446    127    340     279     702     438   591    262   483    109   2269      14.0  14.000000
     DET     4         4       0     3     15    766   1919    472    651    110     360     719   1079     478   609    201   541    132   2114   1984    464    146    447     314     669     465   637    277   443    139   2266      10.0  12.000000
     DET     4         4       0     4     15    902   2004    624    882    125     379     851   1230     545   605    263   608    158   2553   2286    412    161    541     390     674     504   774    309   497    129   2395       9.0  11.000000
     DET     4         4       0     5     15    874   2097    556    792     62     397     773   1170     564   648    277   513    148   2366   2098    470    191    533     325     730     515   728    289   496    131   2381      25.0  14.666667
     DET     4         4       0     6     15    831   2060    509    774     76     412     803   1215     474   761    241   571    155   2247   1945    565    154    456     273     745     473   744    272   520    136   2287      17.0  17.000000
     DET     4         4       0     7     15    919   2220    553    746    136     406     880   1286     572   711    213   537    137   2527   2165    529    175    561     324     760     474   733    275   506    108   2384      16.0  19.333333
     DET     4         4       0     8     15    972   2261    595    785    158     380     931   1311     563   702    227   564    117   2697   2262    547    203    610     309     780     546   767    276   529    117   2540      23.0  18.666667
     HOU     5         5       1     1      5    891   1894    521    634    172     273     724    997     494   554    284   440    104   2475   1938    370    124    418     290     612     473   648    233   480     85   2066       NaN        NaN
     HOU     5         5       1     2      5    747   1908    415    539    138     348     710   1058     426   509    251   436     95   2047   1883    362    152    456     297     685     452   561    248   433    120   1994      27.0  27.000000
     HOU     5         5       1     3      5    755   1778    453    585    109     299     702   1001     450   467    260   455    126   2072   1880    331    151    489     309     664     446   606    262   464     71   1892      19.0  23.000000
     HOU     5         5       1     4      5    828   1916    473    600    115     266     764   1030     465   490    231   450    129   2244   2030    325    169    500     298     708     516   634    227   430    122   2142      24.0  23.333333
     HOU     5         5       1     5     17    798   1933    458    615    123     311     724   1035     451   555    242   484    107   2177   2008    391    152    434     335     720     539   655    258   471    129   2211      20.0  21.000000
     HOU     5         5       1     6     17    860   1920    527    690     62     276     684    960     467   581    246   425    105   2309   1944    419    148    423     274     687     541   685    197   481    111   2263      13.0  19.000000
     HOU     5         5       1     7     17    928   2098    482    678    169     303     822   1125     532   617    252   566     84   2507   2232    445    148    496     337     787     526   705    298   519     89   2449      19.0  17.333333
     HOU     5         5       1     8     17    915   2149    554    721    126     374     770   1144     558   655    289   633    109   2510   2190    578    202    581     342     721     588   677    310   568    160   2628      18.0  16.666667
     IND     6         6       0     1      6    796   1838    428    569    193     285     647    932     501   642    271   518    126   2213   1868    503    109    358     321     633     528   612    267   476     75   2290       NaN        NaN
     IND     6         6       0     2      6    762   1822    472    591    157     286     649    935     458   600    242   491    118   2153   1899    412    131    367     306     660     565   616    256   466    140   2249       9.0   9.000000
     IND     6         6       0     3      6    731   1825    455    580    180     315     633    948     447   559    268   438    100   2097   1817    359    162    464     288     644     507   647    226   470    145   2129      10.0   9.500000
     IND     6         6       0     4      6    839   2011    449    563    210     334     654    988     539   668    299   474    121   2337   1908    490    157    421     309     677     570   631    227   512    170   2321      16.0  11.666667
     IND     6         6       0     5      6    791   2011    450    580    166     396     705   1101     555   639    261   486    134   2198   1865    516    121    352     281     688     514   603    268   466    162   2245      16.0  14.000000
     IND     6         6       0     6      6    784   1958    452    595    150     341     671   1012     493   668    336   477     95   2170   1798    460    123    367     279     711     435   644    234   558    113   2133      15.0  15.666667
     IND     6         6       0     7      6    873   2144    518    676    171     339     755   1094     501   606    354   528     93   2435   2043    413    137    444     288     773     507   685    259   617    105   2316      21.0  17.333333
     IND     6         6       0     8      6    907   2167    478    617    188     341     812   1153     511   646    308   589    136   2480   2192    450    158    483     369     795     475   663    280   610    114   2370      21.0  19.000000
     LAS     7         7       1     1     13    861   1956    545    693    150     308     783   1091     586   705    271   466    156   2417   1963    495    122    413     300     678     445   650    243   485    105   2169       NaN        NaN
     LAS     7         7       1     2     13    916   2031    449    594    160     350     755   1105     596   616    281   438    138   2441   1985    416    192    603     294     627     538   591    234   453    114   2166      28.0  28.000000
     LAS     7         7       1     3     13    891   2002    476    645    194     329     814   1143     583   664    257   517    161   2452   2040    480    163    521     314     645     508   623    275   453    111   2235      28.0  28.000000
     LAS     7         7       1     4     13    894   2140    537    678    174     336     813   1149     587   682    242   470    161   2499   2147    504    196    540     316     789     572   654    241   468    127   2432      25.0  27.000000
     LAS     7         7       1     5     13    904   2069    530    722    157     312     809   1121     626   731    262   529    148   2495   2095    557    174    511     339     727     532   704    288   523    114   2361      24.0  25.666667
     LAS     7         7       1     6     13    873   2042    456    630    124     321     683   1004     551   737    264   492    136   2326   1955    527    182    519     332     709     567   654    247   544    115   2345      25.0  24.666667
     LAS     7         7       1     7     13    962   2195    540    726    111     350     852   1202     610   679    296   534    129   2575   2184    534    196    570     336     746     565   636    284   556    128   2476      17.0  22.000000
     LAS     7         7       1     8     13    940   2305    493    627    160     356     783   1139     554   732    245   571    107   2533   2212    609    191    537     343     836     616   605    290   550    137   2708      25.0  22.333333
     MIA     8         8       0     1      2    647   1774    452    664     85     365     595    960     415   707    272   524     88   1831   1676    454    117    315     275     648     416   661    247   528    118   2001       NaN        NaN
     MIA     8         8       0     2      2    754   1826    356    469     93     292     651    943     467   602    300   448    153   1957   1725    420    120    395     301     667     388   538    259   512     87   1898      13.0  13.000000
     MIA     8         8       0     3      2    774   1856    369    529    129     296     573    869     476   643    274   435     96   2046   1722    469    129    382     278     693     446   588    222   515    104   2088      20.0  16.500000
     MIN     9         9       1     1     14    770   1831    449    592    204     258     612    870     495   690    237   497     63   2193   1758    514    164    481     300     677     472   707    275   547    130   2188       NaN        NaN
     MIN     9         9       1     2     14    671   1810    559    727    176     308     693   1001     437   695    210   507    127   2077   1927    499    153    472     328     688     511   719    259   470    126   2156      15.0  15.000000
     MIN     9         9       1     3     14    727   1775    383    578    166     309     650    959     466   617    226   529    102   2003   1807    469    141    389     302     612     495   618    273   465    117   2104      12.0  13.500000
     MIN     9         9       1     4     14    875   1978    450    624    180     361     718   1079     580   634    242   558    101   2380   2067    473    141    446     337     652     528   666    271   471    126   2370      10.0  12.333333
     MIN     9         9       1     5     14    767   1900    454    640    177     332     724   1056     526   660    257   613    139   2165   1972    490     92    330     323     713     508   676    333   502    133   2190      18.0  13.333333
     MIN     9         9       1     6     14    801   1946    437    601    172     310     715   1025     531   624    258   536    127   2211   2019    435    129    376     344     711     537   665    275   487    144   2288      18.0  15.333333
     MIN     9         9       1     7     14    945   2211    485    681    148     340     804   1144     491   654    193   530    113   2523   2314    548    179    542     372     832     625   633    308   438    124   2735      14.0  16.666667
     MIN     9         9       1     8     14    971   2355    531    674    163     397     785   1182     596   713    238   561     95   2636   2195    614    162    461     318     800     565   645    279   529    147   2752      10.0  14.000000
     NYL    10        10       0     1      9    792   1815    429    567    135     288     652    940     477   617    246   474    102   2148   1822    437    116    420     320     647     462   645    223   479     94   2035       NaN        NaN
     NYL    10        10       0     2      9    833   1828    336    500    160     255     660    915     553   616    265   437     82   2162   1759    461    133    394     304     679     430   600    223   496     76   2082      20.0  20.000000
     NYL    10        10       0     3      9    772   1740    400    567    145     260     610    870     496   638    261   458    100   2089   1733    484    149    434     312     649     410   597    228   478     88   2015      21.0  20.500000
     NYL    10        10       0     4      9    825   1923    412    537    181     271     686    957     527   587    262   470    128   2243   1959    459    155    467     326     736     506   614    269   480     96   2256      18.0  19.666667
     NYL    10        10       0     5      9    819   1932    398    531    216     263     741   1004     539   587    209   506    124   2252   2096    431    132    416     371     730     517   589    288   430    123   2297      16.0  18.333333
     NYL    10        10       0     6      9    828   1860    452    552    208     242     732    974     498   613    214   462    112   2316   2012    442    125    398     345     685     473   590    275   411     86   2285      18.0  17.333333
     NYL    10        10       0     7      9    822   2069    512    650    216     285     736   1021     475   674    252   576    112   2372   2153    553    171    461     341     832     508   668    270   485    134   2656      18.0  17.333333
     NYL    10        10       0     8      9    870   2087    430    580    243     287     788   1075     500   618    289   612    109   2413   2223    471    190    589     378     837     509   608    321   562    115   2501      11.0  15.666667
     ORL    11         3       0     1      3    833   1911    397    546    145     319     606    925     473   583    255   486    130   2208   1964    378    153    450     348     669     536   637    264   500    108   2233       NaN        NaN
     ORL    11         3       0     2      3    768   1914    430    587    174     356     614    970     452   643    320   532    125   2140   1831    436    157    438     316     659     534   600    298   546    114   2205      16.0  16.000000
     ORL    11         3       0     3      3    808   1914    493    646    145     320     595    915     446   669    295   456    113   2254   1862    491    156    422     362     684     519   637    251   541    108   2255      13.0  14.500000
     PHO    12        11       1     1     19    803   1800    513    661    124     275     619    894     465   630    285   429     91   2243   1828    421    135    416     334     635     486   699    224   531     91   2102       NaN        NaN
     PHO    12        11       1     2     19    767   1894    429    587    101     300     642    942     514   625    292   519    138   2064   1892    462    137    391     333     698     524   603    283   517    127   2169      20.0  20.000000
     PHO    12        11       1     3     19    793   1889    405    538    100     292     626    918     427   623    267   501     94   2091   1870    436    155    388     309     692     532   600    268   491    127   2291      13.0  16.500000
     PHO    12        11       1     4     19    801   2095    379    556    116     357     643   1000     461   664    310   479    111   2097   1867    466    136    371     303     811     509   667    275   610    146   2270      11.0  14.666667
     PHO    12        11       1     5     19    826   1922    456    598    192     264     652    916     501   748    282   464    137   2300   1845    534    133    348     309     711     456   660    226   536    137   2235       8.0  10.666667
     PHO    12        11       1     6     19    826   1994    531    693    178     342     720   1062     549   697    243   517    179   2361   1993    523    121    332     319     705     470   672    265   483    112   2354      17.0  12.000000
     PHO    12        11       1     7     19   1079   2434    537    684    265     334     811   1145     640   741    275   442    127   2960   2360    630    203    618     408     875     578   669    231   537    126   2879      16.0  13.666667
     PHO    12        11       1     8     19   1063   2419    616    754    283     279     873   1152     683   658    285   486    159   3025   2526    570    290    762     445     945     628   684    244   595    109   2904      18.0  17.000000
     POR    13        12       1     1     12    761   1828    488    697    145     309     627    936     480   761    265   593     93   2155   1847    577    150    447     307     646     487   729    277   531    130   2303       NaN        NaN
     POR    13        12       1     2     12    733   1891    450    612    172     300     696    996     451   633    244   500    106   2088   1944    461    159    410     343     763     501   643    293   474    144   2202      10.0  10.000000
     POR    13        12       1     3     12    829   1951    410    564    127     307     641    948     492   623    239   493    120   2195   1885    463    126    348     334     678     486   616    272   508    139   2227      11.0  10.500000
     SAC    14        13       1     1      0    876   1993    449    650    142     388     650   1038     567   571    332   458    157   2343   1918    410    144    418     320     631     503   600    226   524    116   2176       NaN        NaN
     SAC    14        13       1     2      0    837   1974    457    618    163     374     723   1097     558   588    276   494    158   2294   2003    415    116    400     343     662     496   616    261   481    143   2139      21.0  21.000000
     SAC    14        13       1     3      0    780   1945    494    653    112     301     648    949     500   675    247   456    109   2166   1944    515    149    453     352     723     493   633    233   496    128   2294      20.0  20.500000
     SAC    14        13       1     4      0    862   2107    425    626    150     349     718   1067     568   641    297   461    122   2299   1991    435    149    467     345     751     516   640    224   576    141   2216      14.0  18.333333
     SAC    14        13       1     5      0    874   2072    435    604    129     389     635   1024     519   641    314   485    118   2312   1872    474    161    458     310     676     513   646    241   593    117   2241      19.0  17.666667
     SAC    14        13       1     6      0    853   1986    494    721    129     369     674   1043     527   684    304   500    108   2329   1823    478    113    376     273     694     463   723    235   622    132   2093      18.0  17.000000
     SAC    14        13       1     7      0    919   2190    542    741    157     418     720   1138     509   670    330   542     88   2537   2021    504    156    507     294     725     507   687    244   633    143   2404      25.0  20.666667
     SAC    14        13       1     8      0    901   2214    572    745    153     452     723   1175     537   642    325   611    101   2527   2081    512    186    547     308     718     542   689    274   649    141   2480      21.0  21.333333
     SAS    15        14       1     4      1    792   2068    538    736     93     350     795   1145     428   728    187   513    167   2215   2176    544    149    482     389     783     530   669    275   424    140   2427       NaN        NaN
     SAS    15        14       1     5      1    812   1940    488    628     79     302     701   1003     493   628    272   513    106   2191   2003    416    172    469     324     710     575   624    280   492    129   2364      12.0  12.000000
     SAS    15        14       1     6      1    764   1833    503    652    110     256     690    946     433   650    195   535     90   2141   2059    463    142    408     351     704     563   685    283   429    148   2401       9.0  10.500000
     SAS    15        14       1     7      1    915   2255    504    672    189     354     814   1168     540   610    246   488     83   2523   2262    490    165    459     372     865     560   641    254   480    129   2603       7.0   9.333333
     SAS    15        14       1     8      1    923   2176    464    577    207     323     764   1087     567   653    283   558    130   2517   2139    529    147    454     361     776     516   619    257   583    137   2484      13.0   9.666667
     SEA    16        15       1     1      8    667   1740    379    561    109     256     537    793     390   648    255   525     93   1822   1721    498    117    334     288     721     506   618    284   529    123   2171       NaN        NaN
     SEA    16        15       1     2      8    689   1821    415    606    128     306     585    891     412   605    273   431    127   1921   1750    417    125    325     296     756     492   588    228   519    127   2048       6.0   6.000000
     SEA    16        15       1     3      8    794   1948    418    543    182     362     633    995     514   623    282   477    151   2188   1818    435    102    342     307     662     488   563    254   531    125   2103      10.0   8.000000
     SEA    16        15       1     4      8    890   2045    442    567    166     342     732   1074     548   644    232   465    138   2388   2039    441    145    437     352     689     456   570    245   459    104   2274      17.0  11.000000
     SEA    16        15       1     5      8    873   2025    524    676    167     350     709   1059     552   665    302   499    131   2437   1989    423    139    391     303     679     507   678    252   527    137   2264      18.0  15.000000
     SEA    16        15       1     6      8    906   2066    544    688    142     323     776   1099     520   657    201   516    158   2498   2163    490    133    419     334     686     568   691    267   438    154   2407      20.0  18.333333
     SEA    16        15       1     7      8    961   2124    562    712    160     327     821   1148     514   682    232   570    127   2644   2218    531    164    484     322     709     520   683    297   485    115   2575      20.0  19.333333
     SEA    16        15       1     8      8    964   2210    582    715    224     344     820   1164     533   620    242   533    151   2734   2321    478    195    528     333     761     591   642    272   495    112   2647      18.0  19.333333
     UTA    17        14       1     1      7    858   1896    609    790     88     348     732   1080     522   698    214   544    157   2413   1964    531    156    448     313     598     503   702    301   437    112   2407       NaN        NaN
     UTA    17        14       1     2      7    811   1849    507    675     78     295     775   1070     524   622    202   493    156   2207   1976    489    125    429     344     630     478   645    275   390    148   2192      18.0  18.000000
     UTA    17        14       1     3      7    843   1911    643    844     89     347     721   1068     478   665    228   522    178   2418   2067    516    126    377     361     645     489   724    260   444    149   2344      19.0  18.500000
     WAS    18        16       0     1     20    832   1813    403    578    109     300     646    946     521   597    245   506    126   2176   1875    382    149    397     299     612     513   595    261   456    102   2221       NaN        NaN
     WAS    18        16       0     2     20    739   1915    333    504    117     356     699   1055     424   537    257   495    127   1928   1945    347    146    408     331     737     487   543    261   454    103   2075      14.0  14.000000
     WAS    18        16       0     3     20    806   1910    359    478    164     330     708   1038     516   583    221   455     94   2135   1903    397    147    446     309     680     442   570    237   441    101   2116      10.0  12.000000
     WAS    18        16       0     4     20    896   2191    381    507    157     382     703   1085     568   676    213   462     99   2330   2033    509    171    482     334     781     591   565    251   468    119   2498      17.0  13.666667
     WAS    18        16       0     5     20    873   2088    474    661    105     337     726   1063     467   652    255   424    128   2325   2013    510    146    425     336     770     534   627    237   492    111   2384       9.0  12.000000
     WAS    18        16       0     6     20    847   1968    388    546    181     266     677    943     517   697    260   435     76   2263   1872    489    150    433     267     757     545   638    205   504    108   2305      17.0  14.333333
     WAS    18        16       0     7     20   1016   2199    528    715    187     330     770   1100     576   784    306   541    113   2747   2102    635    204    553     321     720     583   687    252   573     89   2657      16.0  14.000000
     WAS    18        16       0     8     20    877   2170    668    839    163     335     783   1118     472   763    282   571    133   2585   2216    616    175    520     383     825     549   762    256   579    103   2639      18.0  17.000000
