iter	RMSE
0	230.695955
1	227.5949692
2	223.9142945
3	220.9603015
4	218.0324941
5	215.5429792
6	212.9584196
7	210.2966274
8	207.2074819
9	204.5041782
10	202.1473528
11	199.5188393
12	196.7065166
13	194.1101093
14	191.3770058
15	189.0243465
16	186.3253146
17	183.9449072
18	181.5049823
19	179.5756519
20	177.3071734
21	175.076077
22	172.860974
23	170.445354
24	168.2103752
25	166.2993591
26	164.2787336
27	162.3146435
28	160.284066
29	158.4145431
30	156.7467416
31	154.7745803
32	153.1567651
33	151.4508351
34	149.7729254
35	148.1668187
36	146.5697168
37	144.944079
38	143.1817012
39	141.712606
40	140.2949684
41	138.8856637
42	137.4459222
43	136.0552549
44	134.4576723
45	133.0363826
46	131.6486901
47	130.1803665
48	128.8181001
49	127.43255
50	125.9699538
51	124.777145
52	123.5483358
53	122.1154672
54	120.8285243
55	119.4299828
56	118.098436
57	116.7576982
58	115.5829547
59	114.4767443
60	113.222584
61	112.2588137
62	111.098612
63	110.0172916
64	108.9797306
65	107.912717
66	107.0018456
67	105.9888984
68	105.0074482
69	104.1328519
70	103.1521914
71	102.1776063
72	101.2092593
73	100.167334
74	99.28177848
75	98.56714361
76	97.8217547
77	96.95079439
78	95.99838883
79	95.1409472
80	94.3568993
81	93.61301073
82	92.92980277
83	92.11528063
84	91.35137729
85	90.490264
86	89.79625736
87	88.99995211
88	88.14225273
89	87.39245267
90	86.81527097
91	86.11037107
92	85.45660667
93	84.78274635
94	84.11447041
95	83.49392917
96	82.82379605
97	82.25675828
98	81.62088667
99	80.95609709
100	80.2539986
101	79.63503349
102	79.0885549
103	78.35185109
104	77.63425767
105	77.07164025
106	76.57411288
107	75.98652754
108	75.44607787
109	74.93440399
110	74.29470435
111	73.71150405
112	73.11786102
113	72.60309883
114	72.13260946
115	71.60710097
116	71.11186869
117	70.65389019
118	70.15968444
119	69.66561414
120	69.13319517
121	68.61860931
122	68.16335398
123	67.60320625
124	67.12255489
125	66.73495664
126	66.21383549
127	65.80954273
128	65.36602306
129	64.86570602
130	64.44774528
131	63.95296223
132	63.5141797
133	63.0893215
134	62.66814176
135	62.26234453
136	61.86330071
137	61.43836432
138	60.92451575
139	60.55083483
140	60.11855229
141	59.63930928
142	59.19670102
143	58.7077077
144	58.38166302
145	57.9547735
146	57.54274785
147	57.05670931
148	56.65670172
149	56.27528095
150	55.95081411
151	55.58459
152	55.2746705
153	54.87288085
154	54.51118864
155	54.12578396
156	53.6596133
157	53.2874054
158	52.83335658
159	52.51997544
160	52.19439691
161	51.8039784
162	51.43729171
163	51.06738888
164	50.67955207
165	50.30112192
166	49.88373968
167	49.56239814
168	49.25021954
169	48.97416803
170	48.6663242
171	48.43640667
172	48.07093729
173	47.74982897
174	47.40442661
175	47.12353699
176	46.79401535
177	46.46347098
178	46.15800946
179	45.86546223
180	45.47675756
181	45.11869234
182	44.80666201
183	44.47561047
184	44.15174591
185	43.83401604
186	43.52485588
187	43.29539096
188	42.96901008
189	42.7113291
190	42.38045345
191	42.09509802
192	41.83288175
193	41.6205392
194	41.31067555
195	41.06887195
196	40.77730423
197	40.52462125
198	40.2015865
199	39.96592761
200	39.64073086
201	39.34045705
202	39.09834576
203	38.90707267
204	38.67149512
205	38.44417139
206	38.14754123
207	37.85154343
208	37.60099366
209	37.3031066
210	37.05510462
211	36.75591075
212	36.44069229
213	36.13205239
214	35.94584329
215	35.72899728
216	35.492943
217	35.21610554
218	34.96930986
219	34.74646162
220	34.44630796
221	34.24380095
222	34.015805
223	33.75366049
224	33.4863441
225	33.23656057
226	32.96687539
227	32.80434761
228	32.54782353
229	32.33010722
230	32.04780418
231	31.78229388
232	31.54400538
233	31.32012339
234	31.09247674
235	30.84032103
236	30.65721398
