iter	RMSE
237	30.46776968
238	30.21704753
239	29.99786141
240	29.76833328
241	29.54590101
242	29.37663524
243	29.23218752
244	29.00079831
245	28.76453863
246	28.50246353
247	28.27398679
248	28.02835625
249	27.79326455
250	27.61041031
251	27.36120149
252	27.15842065
253	27.02198687
254	26.83570265
255	26.63199046
256	26.41844515
257	26.2244112
258	26.02407196
259	25.81863091
260	25.59659439
261	25.42313173
262	25.23724068
263	25.06127857
264	24.9518119
265	24.76024552
266	24.59705465
267	24.40050006
268	24.26315053
269	24.03553058
270	23.88677441
271	23.67476439
272	23.4674982
273	23.2588286
274	23.09387368
275	22.89980824
276	22.70911698
277	22.58669173
278	22.42397327
279	22.27835472
280	22.08914825
281	21.92200203
282	21.72775237
283	21.58045184
284	21.47779364
285	21.36070053
286	21.19777361
287	21.06168215
288	20.89417089
289	20.77971534
290	20.64241154
291	20.50252254
292	20.33983577
293	20.21141891
294	20.02963766
295	19.89651378
296	19.7593544
297	19.67528767
298	19.53803679
299	19.39299079
300	19.26310388
301	19.13634313
302	18.9971229
303	18.86459382
304	18.76441217
305	18.64921823
306	18.49776369
307	18.34579863
308	18.22127549
309	18.12866608
310	17.99856605
311	17.86330075
312	17.74230512
313	17.62799999
314	17.50401675
315	17.3807161
316	17.30502208
317	17.2165166
318	17.10477799
319	17.00593918
320	16.84728138
321	16.69593118
322	16.61705951
323	16.52967365
324	16.41520218
325	16.30005335
326	16.20104325
327	16.08814695
328	16.0035842
329	15.8807148
330	15.79530572
331	15.6554879
332	15.56854964
333	15.46133337
334	15.38717629
335	15.2889232
336	15.18905325
337	15.08251805
338	14.97313211
339	14.85348755
340	14.72446394
341	14.64159763
342	14.5361706
343	14.42033789
344	14.32091397
345	14.22202504
346	14.10522621
347	13.99959739
348	13.90330953
349	13.80487574
350	13.74309757
351	13.61782944
352	13.50414922
353	13.39581565
354	13.31643095
355	13.23717409
356	13.11995371
357	13.07158748
358	13.00453617
359	12.90801674
360	12.84057034
361	12.74118468
362	12.64284963
363	12.5823541
364	12.50815415
365	12.45258535
366	12.36236413
367	12.27311218
368	12.2162749
369	12.13614132
370	12.04028952
371	11.93943175
372	11.86568894
373	11.79062483
374	11.7229545
375	11.65985799
376	11.57298984
377	11.4732773
378	11.38414332
379	11.32646143
380	11.25241166
381	11.19625361
382	11.11922268
383	11.0772385
384	11.02880068
385	10.99177429
386	10.95531141
387	10.90183056
388	10.85781035
389	10.77774863
390	10.71771263
391	10.6306189
392	10.53862953
393	10.49128925
394	10.43679916
395	10.37029337
396	10.28584094
397	10.23145909
398	10.16133199
399	10.07591724
400	10.01405392
401	9.943246546
402	9.900390236
403	9.83562949
404	9.80406427
405	9.760578434
406	9.708668393
407	9.652328944
408	9.577442541
409	9.507889347
410	9.456802667
411	9.389237457
412	9.329084979
413	9.270967184
414	9.208959819
415	9.14546067
416	9.095164129
417	9.025693264
418	8.971222769
419	8.920645534
420	8.867349819
421	8.80889005
422	8.776816004
423	8.719298586
424	8.648955771
425	8.618353031
426	8.556892582
427	8.487755361
428	8.417238207
429	8.353089728
430	8.280011328
431	8.245283544
432	8.190366182
433	8.129495975
434	8.070692144
435	8.01772931
436	7.98208683
437	7.930621913
438	7.875486534
439	7.812724552
440	7.756268269
441	7.698599305
442	7.64000964
443	7.589012705
444	7.545346621
445	7.481021145
446	7.447976691
447	7.392737274
448	7.365929728
449	7.318310585
450	7.256075807
451	7.211587954
452	7.158161136
453	7.101647439
454	7.051758634
455	7.00548712
456	6.959845698
457	6.916087417
458	6.867907852
459	6.831321039
460	6.772674826
461	6.717540395
462	6.677406887
463	6.633513353
464	6.604031937
465	6.583125043
466	6.549386983
467	6.498570357
468	6.455295628
469	6.405190105
470	6.355573234
471	6.314821134
472	6.270599881
473	6.223722437
474	6.191299869
475	6.140003964
476	6.107839716
477	6.058081919
478	6.011101657
479	5.974467279
480	5.948241133
481	5.904004198
482	5.85577779
483	5.811843552
484	5.77374503
485	5.745682048
486	5.710686416
487	5.688353412
488	5.647315449
489	5.598732891
490	5.563045745
491	5.524640108
492	5.49544171
493	5.457531431
494	5.415256999
495	5.38591196
496	5.348538988
497	5.304004022
498	5.280841163
499	5.250059003
500	5.212239134
501	5.176268002
502	5.134021963
503	5.099905483
504	5.06746646
505	5.040706151
506	5.014870421
507	4.975639283
508	4.939773691
509	4.90335791
510	4.864991637
511	4.83660315
512	4.81695871
513	4.786498726
514	4.750427285
515	4.71547941
516	4.680760498
517	4.649972025
518	4.624175513
519	4.592253459
520	4.563743084
521	4.54222479
522	4.522658787
523	4.487708576
524	4.467406661
525	4.437685498
526	4.404907469
527	4.372608886
528	4.348715823
529	4.318778171
530	4.291228761
531	4.265334247
532	4.238100872
533	4.205003627
534	4.17170728
535	4.15849185
536	4.148974331
537	4.119219162
538	4.101808326
539	4.085327669
540	4.049034125
541	4.019192494
542	3.996550094
543	3.966611494
544	3.938367146
545	3.917684876
546	3.884449668
547	3.859658341
548	3.829646077
549	3.802879275
550	3.790353277
551	3.767710714
552	3.735195671
553	3.714131691
554	3.690894783
555	3.663684694
556	3.649456311
557	3.62454596
558	3.594474005
559	3.572273067
560	3.548780178
561	3.533895485
562	3.508335741
563	3.479369859
564	3.452921621
565	3.419571664
566	3.395617719
567	3.375811069
568	3.34946191
569	3.32264569
570	3.302947504
571	3.286655692
572	3.265813415
573	3.240075433
574	3.219048987
575	3.194779082
576	3.172585047
577	3.160366812
578	3.140364042
579	3.120060813
580	3.101114106
581	3.081762936
582	3.064117117
583	3.049421053
584	3.026800452
585	3.008584111
586	2.983188744
587	2.966417047
588	2.9429804
589	2.923365295
590	2.912505844
591	2.891374451
592	2.869420232
593	2.847917833
594	2.825089953
595	2.803261523
596	2.789503967
597	2.768632782
598	2.748960977
599	2.728459788
600	2.713348083
601	2.695171928
602	2.673619162
603	2.65468301
604	2.636886753
605	2.626552364
606	2.607139742
607	2.588310668
608	2.566748526
609	2.549570488
610	2.543023311
611	2.525707989
612	2.507118763
613	2.49014222
614	2.472003109
615	2.454818742
616	2.442433745
617	2.425111042
618	2.408053554
619	2.399575848
620	2.386916466
621	2.372229322
622	2.354523062
623	2.349062189
624	2.33149348
625	2.323580898
626	2.310094741
627	2.297420978
628	2.279097024
629	2.261744805
630	2.244950976
631	2.231581548
632	2.215407483
633	2.206757608
634	2.189346857
635	2.178636304
636	2.175722788
637	2.159825076
638	2.14668959
639	2.128673612
640	2.115771664
641	2.100501972
642	2.088476123
643	2.079325546
644	2.064002621
645	2.050713586
646	2.042810483
647	2.02886635
648	2.017034396
649	2.000931026
650	1.990779584
651	1.97541033
652	1.959440315
653	1.942851422
654	1.929642131
655	1.91446126
656	1.898900491
657	1.886706896
658	1.876324626
659	1.865047853
660	1.853044264
661	1.841456938
662	1.831711397
663	1.828146772
664	1.814546078
665	1.80182649
666	1.79952397
667	1.795856191
668	1.790278346
669	1.77727494
670	1.767518464
671	1.753987248
672	1.749629798
673	1.739145
674	1.726885154
675	1.714525823
676	1.705533901
677	1.693808679
678	1.682232993
679	1.670025677
680	1.659720684
681	1.650447007
682	1.639166691
683	1.629697342
684	1.619205534
685	1.606877428
686	1.602853399
687	1.592629028
688	1.59068601
689	1.581457386
690	1.574078265
691	1.560683604
692	1.552935307
693	1.542836633
694	1.535171404
695	1.523754455
696	1.510971233
697	1.504072509
698	1.491004986
699	1.480703999
