iter	Passed	Remaining
320	829	979
321	832	976
322	834	973
323	836	971
324	839	968
325	841	965
326	844	963
327	846	960
328	849	957
329	851	954
330	853	951
331	855	948
332	858	946
333	861	943
334	863	940
335	866	938
336	868	935
337	870	932
338	872	929
339	875	926
340	877	924
341	880	921
342	882	918
343	885	915
344	887	912
345	889	909
346	891	907
347	893	904
348	895	901
349	898	898
350	900	895
351	902	892
352	904	889
353	907	886
354	909	883
355	911	881
356	914	878
357	916	875
358	918	872
359	920	869
360	922	866
361	924	863
362	927	860
363	929	857
364	932	855
365	934	852
366	936	850
367	939	847
368	941	844
369	944	841
370	946	839
371	948	836
372	950	833
373	953	830
374	955	828
375	957	825
376	959	822
377	962	819
378	964	816
379	966	813
380	968	811
381	971	808
382	973	805
383	975	802
384	977	800
385	979	797
386	982	794
387	984	791
388	986	788
389	988	785
390	990	782
391	992	780
392	995	777
393	997	774
394	999	772
395	1001	769
396	1004	766
397	1006	763
398	1008	761
399	1011	758
400	1013	755
401	1015	752
402	1018	750
403	1020	747
404	1022	744
405	1024	741
406	1026	738
407	1028	736
408	1030	733
409	1032	730
410	1035	727
411	1037	725
412	1039	722
413	1042	719
414	1044	717
415	1046	714
416	1049	712
417	1051	709
418	1054	706
419	1056	704
420	1058	701
421	1060	698
422	1062	695
423	1064	693
424	1067	690
425	1070	688
426	1072	685
427	1074	683
428	1077	680
429	1079	677
430	1082	675
431	1084	672
432	1086	670
433	1089	667
434	1091	665
435	1094	662
436	1096	659
437	1098	657
438	1100	654
439	1103	651
440	1105	649
441	1107	646
442	1110	644
443	1112	641
444	1114	638
445	1116	635
446	1118	633
447	1120	630
448	1122	627
449	1125	625
450	1127	622
451	1128	619
452	1131	616
453	1133	614
454	1135	611
455	1137	608
456	1139	605
457	1141	603
458	1144	600
459	1146	598
460	1148	595
461	1150	592
462	1153	590
463	1155	587
464	1157	584
465	1160	582
466	1162	580
467	1165	577
468	1168	575
469	1171	573
470	1174	571
471	1177	568
472	1179	566
473	1182	563
474	1185	561
475	1187	558
476	1189	556
477	1191	553
478	1194	551
479	1196	548
480	1198	545
481	1201	543
482	1203	540
483	1205	538
484	1208	535
485	1210	532
486	1212	530
487	1215	527
488	1217	525
489	1219	522
490	1221	520
491	1224	517
492	1226	515
493	1228	512
494	1231	509
495	1232	507
496	1235	504
497	1237	502
498	1240	499
499	1242	497
500	1245	494
501	1247	492
502	1249	489
503	1251	486
504	1254	484
505	1255	481
506	1258	479
507	1260	476
508	1262	473
509	1265	471
510	1267	468
511	1269	466
512	1271	463
513	1273	460
514	1276	458
515	1278	455
516	1280	453
517	1282	450
518	1284	448
519	1286	445
520	1288	442
521	1291	440
522	1293	437
523	1296	435
524	1298	432
525	1300	430
526	1302	427
527	1305	425
528	1307	422
529	1309	420
530	1312	417
531	1314	415
532	1316	412
533	1319	410
534	1321	407
535	1324	405
536	1326	402
537	1329	400
538	1331	397
539	1333	395
540	1336	392
541	1338	390
542	1340	387
543	1343	385
544	1345	382
545	1347	380
546	1349	377
547	1351	374
548	1354	372
549	1356	370
550	1359	367
551	1361	365
552	1364	362
553	1366	360
554	1368	357
555	1371	355
556	1374	352
557	1376	350
558	1378	347
559	1380	345
560	1382	342
561	1384	340
562	1387	337
563	1389	335
564	1391	332
565	1393	330
566	1396	327
567	1398	324
568	1400	322
569	1403	320
570	1405	317
571	1407	315
572	1409	312
573	1412	309
574	1414	307
575	1416	304
576	1418	302
577	1420	299
578	1423	297
579	1425	294
580	1427	292
581	1430	289
582	1432	287
583	1434	284
584	1437	282
585	1439	280
586	1441	277
587	1443	274
588	1445	272
589	1448	269
590	1450	267
591	1452	264
592	1454	262
593	1457	260
594	1459	257
595	1461	255
596	1463	252
597	1465	250
598	1468	247
599	1470	245
600	1472	242
601	1474	240
602	1476	237
603	1479	235
604	1481	232
605	1483	230
606	1486	227
607	1488	225
608	1490	222
609	1492	220
610	1495	217
611	1497	215
612	1499	212
613	1501	210
614	1504	207
615	1507	205
616	1509	203
617	1511	200
618	1513	198
619	1514	195
620	1516	192
621	1518	190
622	1521	187
623	1523	185
624	1525	183
625	1527	180
626	1529	178
627	1531	175
628	1533	173
629	1535	170
630	1538	168
631	1540	165
632	1543	163
633	1545	160
634	1547	158
635	1550	155
636	1552	153
637	1554	151
638	1556	148
639	1558	146
640	1560	143
641	1563	141
642	1565	138
643	1567	136
644	1569	133
645	1571	131
646	1572	128
647	1575	126
648	1577	123
649	1580	121
650	1582	119
651	1585	116
652	1587	114
653	1589	111
654	1591	109
655	1593	106
656	1597	104
657	1601	102
658	1606	99
659	1610	97
660	1612	95
661	1614	92
662	1616	90
663	1619	87
664	1621	85
665	1624	82
666	1626	80
667	1628	78
668	1630	75
669	1633	73
670	1635	70
671	1637	68
672	1639	65
673	1642	63
674	1644	60
675	1646	58
676	1648	56
677	1651	53
678	1653	51
679	1655	48
680	1658	46
681	1660	43
682	1662	41
683	1664	38
684	1666	36
685	1669	34
686	1671	31
687	1673	29
688	1675	26
689	1678	24
690	1680	21
691	1683	19
692	1685	17
693	1687	14
694	1690	12
695	1692	9
696	1694	7
697	1696	4
698	1699	2
699	1701	0
