playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers  roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  aldrima01w            0         0    15 52.0  2704.0    6       65    71.0   153.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  anderke01w            0         1    15 51.0  2601.0    6       71    67.0   125.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  andrame01w            0         2     1 50.0  2500.0    3       45    71.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  arcaija01w            0         3     3 56.0  3136.0    6       72    71.0   147.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  askamma01w            0         4     6 55.0  3025.0    1       72    77.0   198.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  aycocan01w            0         5     7 52.0  2704.0    7       25    74.0   172.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  aycocan01w            1         5    13 52.0  2704.0    7       25    74.0   172.0           6.0          0.0             0.0             3.0           4.0          0.0          0.0             0.0      1.0               0.0          0.0               0.0          0.0             0.0            6.0           0.0              0.0              3.0            4.0           0.0           0.0              0.0       1.0                0.0           0.0                0.0           0.0              0.0
   azzije01w            0         6    14 57.0  3249.0    6       58    68.0   143.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  badertr01w            0         7     1 52.0  2704.0    6        6    64.0   125.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  banchrh01w            0         8    12 52.0  2704.0    1       69    75.0   185.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barnead01w            0         9     1 48.0  2304.0    3        2    71.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barnequ01w            0        10    13 49.0  2401.0    1       22    77.0   185.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  bauerca01w            0        11     0 53.0  2809.0    4       38    76.0   180.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  beviltu01w            0        12    11  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  bibbyje01w            0        13     8  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  blackde01w            0        14     6 59.0  3481.0    6       57    63.0   124.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  blodgci01w            0        15    12 50.0  2500.0    6       30    69.0   130.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  boltoru01w            0        16    12 58.0  3364.0    6        4    69.0   150.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brazian01w            0        17     0 49.0  2401.0    3       61    74.0   169.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brogami01w            0        18    10  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  browned01w            0        19     2 47.0  2209.0    7       60    69.0   163.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brownru01w            0        20     1 53.0  2809.0    3       18    74.0   175.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brumfma01w            0        21     7 47.0  2209.0    6       49    68.0   133.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  bullevi01w            0        22    15 58.0  3364.0    3       31    75.0   185.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  burgeli01w            0        23    12 56.0  3136.0    3        1    73.0   173.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  burraal01w            0        24    11 50.0  2500.0    1       29    75.0   218.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  byearla01w            0        25    12 52.0  2704.0    7       11    71.0   206.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  campbed01w            0        26    13 57.0  3249.0    6       60    68.0   152.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  campbmi01w            0        27    15 51.0  2601.0    4       66    77.0   170.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  cantydo01w            0        28     2 48.0  2304.0    7        1    69.0   162.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  cassija01w            0        29     6 47.0  2209.0    1       30    75.0   187.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  clearmi01w            0        30    10 51.0  2601.0    6        5    66.0   126.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  clinest01w            0        31    12 47.0  2209.0    6       63    65.0   148.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  colleka01w            0        32     6 54.0  2916.0    7       31    70.0   145.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  coopecy01w            0        33     3 62.0  3844.0    6       66    70.0   150.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  crawlsy01w            0        34    11 53.0  2809.0    4       40    77.0   187.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  cunnibe01w            0        35    15 50.0  2500.0    6       43    72.0   163.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  daleygr01w            0        36     7 47.0  2209.0    6       62    66.0   147.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  darlihe01w            0        37     1 47.0  2209.0    6       47    66.0   164.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  deforan01w            0        38     2 49.0  2401.0    6       39    70.0   160.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  dickeke01w            0        39     7 47.0  2209.0    3       61    71.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  dixonta01w            0        40     5 50.0  2500.0    6       25    69.0   148.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  dossaci01w            0        41     9  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  dydekma01w            0        42    14  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  edwarmi01w            0        43     1 59.0  3481.0    6       50    69.0   150.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  edwarmi01w            1        43    13 59.0  3481.0    6       50    69.0   150.0          17.0          8.0             0.0             2.0           1.0          0.0          0.0             4.0      3.0              10.0          4.0               0.0          0.0             0.0           17.0           8.0              0.0              2.0            1.0           0.0           0.0              4.0       3.0               10.0           4.0                0.0           0.0              0.0
  edwarsi01w            0        44    13 52.0  2704.0    1       23    76.0   164.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
