playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers  roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  baranel01w            0        12     6 53.0  2809.0    3        1    77.0   182.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barksla01w            0        13    11 46.0  2116.0    6       48    70.0   156.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barnead01w            0        14     1 47.0  2209.0    3        3    71.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barnead01w            1        14     1 48.0  2304.0    3        3    71.0   165.0          18.0          8.0             2.0             0.0           4.0          0.0          0.0             2.0      2.0               5.0          3.0               4.0          2.0             0.0           18.0           8.0              2.0              0.0            4.0           0.0           0.0              2.0       2.0                5.0           3.0                4.0           2.0              0.0
  barnequ01w            0        15    13 48.0  2304.0    1       28    77.0   185.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barnequ01w            1        15    13 49.0  2401.0    1       28    77.0   185.0         705.0        209.0            27.0            57.0          33.0         19.0         33.0            62.0    103.0             213.0         89.0              56.0         30.0             1.0          705.0         209.0             27.0             57.0           33.0          19.0          33.0             62.0     103.0              213.0          89.0               56.0          30.0              1.0
  bauerca01w            0        16     0 52.0  2704.0    4       46    76.0   180.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  bauerca01w            1        16    15 53.0  2809.0    4       46    76.0   180.0         398.0         76.0            20.0            36.0          14.0          8.0          3.0            28.0     72.0              72.0         29.0              21.0         18.0             0.0          398.0          76.0             20.0             36.0           14.0           8.0           3.0             28.0      72.0               72.0          29.0               21.0          18.0              0.0
  beviltu01w            0        17    11  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  beviltu01w            1        17    11  NaN     NaN    0        0     NaN     NaN         796.0        153.0            19.0            76.0          89.0         41.0          6.0            66.0     93.0             112.0         40.0              72.0         56.0            17.0          796.0         153.0             19.0             76.0           89.0          41.0           6.0             66.0      93.0              112.0          40.0               72.0          56.0             17.0
  bibbyje01w            0        18     8  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  blackde01w            0        19     6 58.0  3364.0    6       67    63.0   124.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  blackde01w            1        19     6 59.0  3481.0    6       67    63.0   124.0         820.0        152.0            23.0            69.0          98.0         58.0          1.0            50.0     86.0             150.0         57.0              42.0         29.0             9.0          820.0         152.0             23.0             69.0           98.0          58.0           1.0             50.0      86.0              150.0          57.0               42.0          29.0              9.0
