 playerID  career_year  tmID  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers    prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers   roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
        6            0    15         6    15 39.0  1521.0    5       72    71.0     135    396.970339   134.766949       20.207627       40.985169     29.569915    15.692797     6.870763       29.449153  40.146186        116.241525    48.527542         39.830508    29.213983        8.497881     396.970339    134.766949        20.207627        40.985169      29.569915     15.692797      6.870763        29.449153  40.146186         116.241525     48.527542          39.830508     29.213983         8.497881
        7            0    11         7    11 40.0  1600.0    2        0    73.0     175    290.289157    91.963855       12.180723       27.987952     23.048193    11.614458     6.710843       23.819277  30.566265         82.012048    33.036145         25.289157    18.939759        6.951807     290.289157     91.963855        12.180723        27.987952      23.048193     11.614458      6.710843        23.819277  30.566265          82.012048     33.036145          25.289157     18.939759         6.951807
        7            1    17         7    17 42.0  1764.0    2        0    73.0     175      3.000000     1.000000        1.000000        0.000000      0.000000     0.000000     1.000000        1.000000   2.000000          0.000000     0.000000          2.000000     1.000000        0.000000       3.000000      1.000000         1.000000         0.000000       0.000000      0.000000      1.000000         1.000000   2.000000           0.000000      0.000000           2.000000      1.000000         0.000000
        7            2    19         7    19 44.0  1936.0    2        0    73.0     175     47.000000     8.000000        4.000000       10.000000      0.000000     5.000000     2.000000        9.000000   3.000000         10.000000     3.000000          4.000000     2.000000        0.000000      25.000000      4.500000         2.500000         5.000000       0.000000      2.500000      1.500000         5.000000   2.500000           5.000000      1.500000           3.000000      1.500000         0.000000
        8            0    15         8    15 49.0  2401.0    2        5    76.0     169    396.970339   134.766949       20.207627       40.985169     29.569915    15.692797     6.870763       29.449153  40.146186        116.241525    48.527542         39.830508    29.213983        8.497881     396.970339    134.766949        20.207627        40.985169      29.569915     15.692797      6.870763        29.449153  40.146186         116.241525     48.527542          39.830508     29.213983         8.497881
        9            0     4         9     4 39.0  1521.0    2       13    72.0     167    396.970339   134.766949       20.207627       40.985169     29.569915    15.692797     6.870763       29.449153  40.146186        116.241525    48.527542         39.830508    29.213983        8.497881     396.970339    134.766949        20.207627        40.985169      29.569915     15.692797      6.870763        29.449153  40.146186         116.241525     48.527542          39.830508     29.213983         8.497881
        9            1    11         9    11 39.0  1521.0    2       13    72.0     167      1.000000     0.000000        0.000000        2.000000      0.000000     0.000000     0.000000        0.000000   0.000000          0.000000     0.000000          0.000000     0.000000        0.000000       1.000000      0.000000         0.000000         2.000000       0.000000      0.000000      0.000000         0.000000   0.000000           0.000000      0.000000           0.000000      0.000000         0.000000
       10            0    15        10    15 39.0  1521.0    0      111    78.0     190    396.970339   134.766949       20.207627       40.985169     29.569915    15.692797     6.870763       29.449153  40.146186        116.241525    48.527542         39.830508    29.213983        8.497881     396.970339    134.766949        20.207627        40.985169      29.569915     15.692797      6.870763        29.449153  40.146186         116.241525     48.527542          39.830508     29.213983         8.497881
       10            1    15        10    15 40.0  1600.0    0      111    78.0     190    171.000000    42.000000        7.000000       17.000000      5.000000     5.000000     5.000000       17.000000  33.000000         44.000000    19.000000         12.000000     4.000000        0.000000     171.000000     42.000000         7.000000        17.000000       5.000000      5.000000      5.000000        17.000000  33.000000          44.000000     19.000000          12.000000      4.000000         0.000000
       10            2    16        10    16 41.0  1681.0    0      111    78.0     190    231.000000    77.000000       14.000000       20.000000      5.000000     3.000000     6.000000       25.000000  46.000000         64.000000    25.000000         37.000000    27.000000        0.000000     201.000000     59.500000        10.500000        18.500000       5.000000      4.000000      5.500000        21.000000  39.500000          54.000000     22.000000          24.500000     15.500000         0.000000
