playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers   roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  abrossv01w            0         0     9 39.0  1521.0    3       20    74.0   169.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  abrossv01w            1         0     9 40.0  1600.0    3       20    74.0   169.0         846.0        343.0            43.0           131.0          53.0         42.0          9.0            85.0     70.0             293.0        114.0             132.0         96.0            19.0     846.000000    343.000000        43.000000       131.000000      53.000000     42.000000      9.000000        85.000000  70.000000         293.000000    114.000000         132.000000     96.000000        19.000000
  abrossv01w            2         0     9 41.0  1681.0    3       20    74.0   169.0         805.0        314.0            45.0           101.0          60.0         42.0         10.0            92.0     73.0             316.0        119.0             116.0         56.0            20.0     825.500000    328.500000        44.000000       116.000000      56.500000     42.000000      9.500000        88.500000  71.500000         304.500000    116.500000         124.000000     76.000000        19.500000
  abrossv01w            3         0     9 42.0  1764.0    3       20    74.0   169.0         792.0        318.0            44.0            97.0          82.0         44.0         11.0            90.0     79.0             285.0        112.0              98.0         69.0            25.0     814.333333    325.000000        44.000000       109.666667      65.000000     42.666667     10.000000        89.000000  74.000000         298.000000    115.000000         115.333333     73.666667        21.333333
  abrossv01w            4         0     9 43.0  1849.0    3       20    74.0   169.0         462.0        146.0            17.0            57.0          45.0         30.0          2.0            43.0     42.0             139.0         49.0              46.0         28.0            20.0     686.333333    259.333333        35.333333        85.000000      62.333333     38.666667      7.666667        75.000000  64.666667         246.666667     93.333333          86.666667     51.000000        21.666667
  abrossv01w            5         0     9 44.0  1936.0    3       20    74.0   169.0         777.0        304.0            29.0            78.0          60.0         48.0          6.0            80.0     86.0             276.0        109.0              73.0         53.0            33.0     677.000000    256.000000        30.000000        77.333333      62.333333     40.666667      6.333333        71.000000  69.000000         233.333333     90.000000          72.333333     50.000000        26.000000
  abrossv01w            6         0     9 45.0  2025.0    3       20    74.0   169.0         724.0        263.0            44.0            62.0          54.0         34.0          1.0            61.0     66.0             241.0         99.0              62.0         41.0            24.0     654.333333    237.666667        30.000000        65.666667      53.000000     37.333333      3.000000        61.333333  64.666667         218.666667     85.666667          60.333333     40.666667        25.666667
  adamsjo01w            0         1     9 40.0  1600.0    1       64    75.0   180.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  aguilel01w            0         2    17 44.0  1936.0    6       32    67.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  aldrima01w            0         3    18 45.0  2025.0    6      101    71.0   153.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
