playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers   roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  anderke01w            2         8     0 49.0  2401.0    6       99    67.0   125.0         102.0         12.0             3.0            12.0          14.0          6.0          0.0            17.0      8.0              16.0          2.0              10.0          8.0             0.0     268.000000     43.500000         7.500000        23.000000      44.500000     15.500000      1.500000        32.000000  30.500000          42.000000     15.500000          14.000000     11.000000         1.500000
  andrame01w            0         9     1 46.0  2116.0    3       68    71.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  andrame01w            1         9     1 47.0  2209.0    3       68    71.0   165.0         797.0        265.0            32.0            63.0          75.0         41.0         10.0            65.0     91.0             195.0         89.0              80.0         60.0            27.0     797.000000    265.000000        32.000000        63.000000      75.000000     41.000000     10.000000        65.000000  91.000000         195.000000     89.000000          80.000000     60.000000        27.000000
  andrame01w            2         9     1 48.0  2304.0    3       68    71.0   165.0         893.0        152.0            21.0            66.0         100.0         51.0         10.0            61.0     77.0             171.0         58.0              45.0         30.0             6.0     845.000000    208.500000        26.500000        64.500000      87.500000     46.000000     10.000000        63.000000  84.000000         183.000000     73.500000          62.500000     45.000000        16.500000
  andrame01w            3         9     0 50.0  2500.0    3       68    71.0   165.0         665.0         91.0            17.0            39.0          67.0         29.0          6.0            41.0     82.0             111.0         34.0              23.0         18.0             5.0     785.000000    169.333333        23.333333        56.000000      80.666667     40.333333      8.666667        55.666667  83.333333         159.000000     60.333333          49.333333     36.000000        12.666667
  arcaija01w            0        10     4 52.0  2704.0    6      102    71.0   147.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  arcaija01w            1        10     4 53.0  2809.0    6      102    71.0   147.0         977.0        268.0            36.0            83.0          60.0         42.0          3.0            53.0     66.0             233.0        109.0              49.0         41.0             9.0     977.000000    268.000000        36.000000        83.000000      60.000000     42.000000      3.000000        53.000000  66.000000         233.000000    109.000000          49.000000     41.000000         9.000000
  arcaija01w            2        10     4 54.0  2916.0    6      102    71.0   147.0        1154.0        591.0            49.0            87.0          94.0         60.0          3.0            83.0     82.0             509.0        217.0             150.0        135.0            22.0    1065.500000    429.500000        42.500000        85.000000      77.000000     51.000000      3.000000        68.000000  74.000000         371.000000    163.000000          99.500000     88.000000        15.500000
  arcaija01w            3        10     4 55.0  3025.0    6      102    71.0   147.0        1116.0        364.0            42.0            84.0          86.0         51.0          6.0            71.0     49.0             302.0        128.0             111.0         98.0            10.0    1082.333333    407.666667        42.333333        84.666667      80.000000     51.000000      4.000000        69.000000  65.666667         348.000000    151.333333         103.333333     91.333333        13.666667
  askamma01w            0        11     7 51.0  2601.0    1      102    77.0   198.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  askamma01w            1        11     7 52.0  2704.0    1      102    77.0   198.0         869.0        251.0            96.0           135.0          29.0         17.0         21.0            49.0     95.0             209.0         85.0             117.0         80.0             1.0     869.000000    251.000000        96.000000       135.000000      29.000000     17.000000     21.000000        49.000000  95.000000         209.000000     85.000000         117.000000     80.000000         1.000000
  askamma01w            2        11     6 53.0  2809.0    1      102    77.0   198.0         431.0         74.0            35.0            52.0          15.0         12.0         11.0            19.0     62.0              58.0         28.0              32.0         18.0             0.0     650.000000    162.500000        65.500000        93.500000      22.000000     14.500000     16.000000        34.000000  78.500000         133.500000     56.500000          74.500000     49.000000         0.500000
  askamma01w            3        11     7 53.0  2809.0    1      102    77.0   198.0         215.0         61.0            24.0            25.0           4.0         11.0          4.0            11.0     25.0              55.0         26.0              14.0          9.0             0.0     505.000000    128.666667        51.666667        70.666667      16.000000     13.333333     12.000000        26.333333  60.666667         107.333333     46.333333          54.333333     35.666667         0.333333
  aycocan01w            0        12     8 48.0  2304.0    7       42    74.0   172.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  aycocan01w            1        12    15 48.0  2304.0    7       42    74.0   172.0           6.0          0.0             0.0             3.0           4.0          0.0          0.0             0.0      1.0               0.0          0.0               0.0          0.0             0.0       6.000000      0.000000         0.000000         3.000000       4.000000      0.000000      0.000000         0.000000   1.000000           0.000000      0.000000           0.000000      0.000000         0.000000
   azizle01w            0        13     5 45.0  2025.0    3       84    75.0   177.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
   azzije01w            0        14    16 53.0  2809.0    6       83    68.0   143.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
   azzije01w            1        14    16 54.0  2916.0    6       83    68.0   143.0         559.0        144.0             5.0            36.0          92.0         12.0          5.0            28.0     43.0             104.0         47.0              43.0         40.0            10.0     559.000000    144.000000         5.000000        36.000000      92.000000     12.000000      5.000000        28.000000  43.000000         104.000000     47.000000          43.000000     40.000000        10.000000
   azzije01w            2        14    16 55.0  3025.0    6       83    68.0   143.0        1205.0        276.0            10.0            88.0         171.0         22.0         10.0            69.0     89.0             184.0         75.0              96.0         88.0            38.0     882.000000    210.000000         7.500000        62.000000     131.500000     17.000000      7.500000        48.500000  66.000000         144.000000     61.000000          69.500000     64.000000        24.000000
