playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers   roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  abrossv01w            0         0     7 44.0  1936.0    3       16    74.0   169.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  abrossv01w            1         0     7 45.0  2025.0    3       16    74.0   169.0         846.0        343.0            43.0           131.0          53.0         42.0          9.0            85.0     70.0             293.0        114.0             132.0         96.0            19.0     846.000000    343.000000        43.000000       131.000000      53.000000     42.000000      9.000000        85.000000  70.000000         293.000000    114.000000         132.000000     96.000000        19.000000
  aguilel01w            0         1    14 49.0  2401.0    6       27    67.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  aldrima01w            0         2    15 50.0  2500.0    6       84    71.0   153.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  aldrima01w            1         2    15 51.0  2601.0    6       84    71.0   153.0         272.0         63.0             8.0            16.0          28.0          9.0          4.0            27.0     30.0              54.0         25.0              22.0          7.0             6.0     272.000000     63.000000         8.000000        16.000000      28.000000      9.000000      4.000000        27.000000  30.000000          54.000000     25.000000          22.000000      7.000000         6.000000
  alhalta01w            0         3     9 50.0  2500.0    5       17    72.0   149.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  amachma01w            0         4     8  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  ambermo01w            0         5    12 55.0  3025.0    3        5    76.0   169.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  anderke01w            0         6    15 49.0  2401.0    6       90    67.0   125.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  anderke01w            1         6     0 50.0  2500.0    6       90    67.0   125.0         434.0         75.0            12.0            34.0          75.0         25.0          3.0            47.0     53.0              68.0         29.0              18.0         14.0             3.0     434.000000     75.000000        12.000000        34.000000      75.000000     25.000000      3.000000        47.000000  53.000000          68.000000     29.000000          18.000000     14.000000         3.000000
