 prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score tmID lgID    coachID
            7.0              9.0                   0.0                     0.0             17              17             2325             2384                  1            0.437500                       0.0             1                    1639.0  WAS WNBA adubari99w
            NaN              NaN                   NaN                     NaN             25               9             2495             2361                  1                 NaN                       NaN             1                    2543.0  LAS WNBA bibbyhe01w
           13.0             21.0                   0.0                     0.0             13              21             2177             2211                  0            0.382353                       0.0             6                    1561.0  HOU WNBA chancva99w
           11.0              7.0                   2.0                     3.0             18              16             2252             2297                  1            0.611111                       1.0             2                    2145.0  NYL WNBA coylepa99w
           20.0             14.0                   6.0                     2.0             20              14             2437             2264                  1            0.588235                       1.0             3                    1803.0  SEA WNBA donovan99w
           17.0             17.0                   0.0                     0.0             17              17             2300             2235                  0            0.500000                       0.0             2                    1969.0  PHO WNBA grafca99wc
            NaN              NaN                   NaN                     NaN              9              25             2191             2364                  0                 NaN                       NaN             1                     890.0  SAS WNBA hugheda99w
           16.0             18.0                   0.0                     0.0             16              18             2092             2168                  0            0.470588                       0.0             3                    1331.0  CHA WNBA laceytr99w
           17.0             17.0                   1.0                     2.0             17              17             2366             2381                  1            0.500000                       1.0             4                    2324.0  DET WNBA laimbbi01w
           18.0             16.0                   0.0                     2.0             18              16             2165             2190                  1            0.529412                       1.0             3                    1399.0  MIN WNBA mcconsu01w
           18.0             16.0                   5.0                     3.0             18              16             2335             2304                  1            0.529412                       1.0             3                    2086.0  CON WNBA thibami99w
           18.0             16.0                   3.0                     3.0             18              16             2312             2241                  1            0.529412                       1.0             3                    1831.0  SAC WNBA whisejo99w
           15.0             19.0                   0.0                     0.0             15              19             2198             2245                  0            0.441176                       0.0             2                    2032.0  IND WNBA wintebr01w
