 prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score tmID lgID    coachID
            NaN              NaN                   NaN                     NaN              9              25             2330             2498                  0                 NaN                       NaN             1                    1774.0  WAS WNBA adamsmi01w
           16.0             18.0                   0.0                     0.0             16              18             2243             2256                  0            0.470588                       0.0             5                    1830.0  NYL WNBA adubari99w
           20.0             14.0                   1.0                     2.0             20              14             2244             2142                  1            0.588235                       1.0             5                    1673.0  HOU WNBA chancva99w
           24.0             10.0                   5.0                     4.0             24              10             2499             2432                  1            0.705882                       1.0             5                    2282.0  LAS WNBA coopemi01w
            6.0              6.0                   0.0                     0.0             12              22             2215             2427                  0            0.500000                       0.0             2                    1603.0  SAS WNBA dailesh99w
           18.0             16.0                   0.0                     0.0             18              16             2388             2274                  0            0.529412                       0.0             2                    1970.0  SEA WNBA donovan99w
            NaN              NaN                   NaN                     NaN              8              26             2097             2270                  0                 NaN                       NaN             1                    1278.0  PHO WNBA grafca99wc
           18.0             16.0                   0.0                     2.0             18              16             2217             2195                  1            0.529412                       1.0             2                    1758.0  CHA WNBA laceytr99w
           25.0              9.0                   6.0                     2.0             25               9             2553             2395                  1            0.735294                       1.0             3                    2424.0  DET WNBA laimbbi01w
           18.0             16.0                   1.0                     2.0             18              16             2380             2370                  1            0.529412                       1.0             2                    1290.0  MIN WNBA mcconsu01w
           18.0             16.0                   2.0                     2.0             18              16             2384             2409                  1            0.529412                       1.0             2                    1531.0  CON WNBA thibami99w
           12.0              4.0                   3.0                     3.0             19              15             2299             2216                  1            0.750000                       1.0             2                    2423.0  SAC WNBA whisejo99w
            NaN              NaN                   NaN                     NaN             16              18             2337             2321                  0                 NaN                       NaN             1                    2251.0  IND WNBA wintebr01w
