 prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score tmID lgID    coachID
           20.0             12.0                   4.0                     3.0             20              12             2148             2035                  1             0.62500                       1.0             2                    2214.0  NYL WNBA adubari99w
           15.0             17.0                   0.0                     0.0             15              17             2193             2188                  0             0.46875                       0.0             2                    1219.0  MIN WNBA aglerbr99w
           21.0             11.0                   0.0                     2.0             21              11             2343             2176                  1             0.65625                       1.0             2                    2335.0  SAC WNBA allenso99w
           27.0              5.0                   6.0                     0.0             27               5             2475             2066                  1             0.84375                       1.0             2                    1387.0  HOU WNBA chancva99w
            NaN              NaN                   NaN                     NaN             20              12             2243             2102                  1                 NaN                       NaN             1                    2033.0  PHO WNBA coopecy01w
           28.0              4.0                   2.0                     2.0             28               4             2417             2169                  1             0.87500                       1.0             2                    2418.0  LAS WNBA coopemi01w
            9.0             23.0                   0.0                     0.0              8              24             2186             2429                  0             0.28125                       0.0             1                    1269.0  CHA WNBA donovan99w
            6.0             26.0                   0.0                     0.0              6              26             1822             2171                  0             0.18750                       0.0             2                    1102.0  SEA WNBA dunnli99wc
            NaN              NaN                   NaN                     NaN              9              23             2213             2290                  0                 NaN                       NaN             1                    1834.0  IND WNBA fortnne99w
           10.0             22.0                   0.0                     0.0             10              22             2155             2303                  0             0.31250                       0.0             2                    1694.0  POR WNBA hargrli99w
           17.0             15.0                   3.0                     3.0             17              15             2185             2122                  1             0.53125                       1.0             2                    2114.0  CLE WNBA hugheda99w
            NaN              NaN                   NaN                     NaN             14              18             2176             2221                  1                 NaN                       NaN             1                    1995.0  WAS WNBA maherto99w
           16.0             16.0                   1.0                     2.0             16              16             2208             2233                  1             0.50000                       1.0             2                    1931.0  ORL WNBA peckca99wc
           13.0             19.0                   0.0                     0.0             13              19             1831             2001                  0             0.40625                       0.0             2                    1292.0  MIA WNBA rothsro99w
           18.0             14.0                   0.0                     0.0             18              14             2413             2407                  0             0.56250                       0.0             2                    2329.0  UTA WNBA willifr99w
            NaN              NaN                   NaN                     NaN             14              18             2331             2426                  0                 NaN                       NaN             1                    1771.0  DET WNBA willigr99w
