 prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score tmID lgID    coachID
           16.0             18.0                   0.0                     0.0           16.0            18.0           2263.0           2305.0                0.0            0.470588                       0.0             2                    1501.0  WAS WNBA adubari99w
            3.0              7.0                   0.0                     0.0            6.0            28.0           2095.0           2335.0                0.0            0.300000                       0.0             2                    1496.0  CHA WNBA boguemu01w
            4.0              2.0                   0.0                     2.0           17.0            17.0           2326.0           2345.0                1.0            0.666667                       1.0             2                    1577.0  LAS WNBA bryanjo01w
           19.0             15.0                   2.0                     3.0           19.0            15.0           2309.0           2263.0                1.0            0.558824                       1.0             7                    1903.0  HOU WNBA chancva99w
            NaN              NaN                   NaN                     NaN            NaN             NaN              NaN              NaN                NaN                 NaN                       NaN             1                       NaN  CHI WNBA cowenda01w
           18.0             16.0                   0.0                     2.0           18.0            16.0           2316.0           2285.0                1.0            0.529412                       1.0             3                     904.0  NYL WNBA coylepa99w
           20.0             14.0                   1.0                     2.0           20.0            14.0           2498.0           2407.0                1.0            0.588235                       1.0             4                    2162.0  SEA WNBA donovan99w
            7.0             27.0                   0.0                     0.0            7.0            27.0           2141.0           2401.0                0.0            0.205882                       0.0             2                     894.0  SAS WNBA hugheda99w
           16.0             18.0                   0.0                     2.0           16.0            18.0           2247.0           2287.0                1.0            0.470588                       1.0             5                    1904.0  DET WNBA laimbbi01w
           14.0             20.0                   0.0                     0.0           14.0            20.0           2211.0           2288.0                0.0            0.411765                       0.0             4                    1264.0  MIN WNBA mcconsu01w
           26.0              8.0                   5.0                     3.0           26.0             8.0           2474.0           2244.0                1.0            0.764706                       1.0             4                    2569.0  CON WNBA thibami99w
            NaN              NaN                   NaN                     NaN           16.0            18.0           2361.0           2354.0                0.0                 NaN                       NaN             1                    1476.0  PHO WNBA westhpa99w
           25.0              9.0                   7.0                     1.0           25.0             9.0           2329.0           2093.0                1.0            0.735294                       1.0             4                    2163.0  SAC WNBA whisejo99w
           21.0             13.0                   2.0                     2.0           21.0            13.0           2170.0           2133.0                1.0            0.617647                       1.0             3                    1158.0  IND WNBA wintebr01w
