 prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score tmID lgID    coachID
           21.0             11.0                   3.0                     3.0             21              11             2162             2082                  1            0.656250                       1.0             3                    2311.0  NYL WNBA adubari99w
           12.0             20.0                   0.0                     0.0             12              20             2077             2156                  0            0.375000                       0.0             3                    1552.0  MIN WNBA aglerbr99w
            NaN              NaN                   NaN                     NaN             13              19             2140             2205                  0                 NaN                       NaN             1                    2097.0  ORL WNBA brownde01w
           19.0             13.0                   0.0                     2.0             19              13             2047             1994                  1            0.593750                       1.0             3                    1978.0  HOU WNBA chancva99w
           13.0             19.0                   0.0                     0.0             13              19             2064             2169                  0            0.406250                       0.0             2                    1016.0  PHO WNBA coopecy01w
           28.0              4.0                   6.0                     1.0             28               4             2441             2166                  1            0.875000                       1.0             3                    2341.0  LAS WNBA coopemi01w
           18.0             14.0                   4.0                     4.0             18              14             2055             2009                  1            0.562500                       1.0             2                    1976.0  CHA WNBA donovan99w
           10.0             22.0                   0.0                     0.0             10              22             1921             2048                  0            0.312500                       0.0             3                    1555.0  SEA WNBA dunnli99wc
           10.0             22.0                   0.0                     0.0             10              22             2153             2249                  0            0.312500                       0.0             2                    1431.0  IND WNBA fortnne99w
           11.0             21.0                   0.0                     0.0             11              21             2088             2202                  0            0.343750                       0.0             3                    1804.0  POR WNBA hargrli99w
           14.0              5.0                   0.0                     2.0             19              13             2207             2192                  1            0.736842                       1.0             2                    2334.0  UTA WNBA harveca99w
           22.0             10.0                   1.0                     2.0             22              10             2004             1788                  1            0.687500                       1.0             3                    1897.0  CLE WNBA hugheda99w
           14.0              6.0                   3.0                     2.0             20              12             2294             2139                  1            0.700000                       1.0             2                    2554.0  SAC WNBA mchugma99w
           20.0             12.0                   1.0                     2.0             20              12             1957             1898                  1            0.625000                       1.0             3                    1512.0  MIA WNBA rothsro99w
            NaN              NaN                   NaN                     NaN             10              22             1928             2075                  0                 NaN                       NaN             1                    1741.0  WAS WNBA stanlma99w
           10.0             22.0                   0.0                     0.0             10              22             2103             2269                  0            0.312500                       0.0             2                    1376.0  DET WNBA willigr99w
