 prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score tmID lgID    coachID
           18.0             14.0                   4.0                     4.0           18.0            14.0           2089.0           2015.0                1.0            0.562500                       1.0             4                    2054.0  NYL WNBA adubari99w
           24.0              8.0                   1.0                     2.0           24.0             8.0           2072.0           1892.0                1.0            0.750000                       1.0             4                    1961.0  HOU WNBA chancva99w
           25.0              7.0                   6.0                     0.0           25.0             7.0           2452.0           2235.0                1.0            0.781250                       1.0             4                    2697.0  LAS WNBA coopemi01w
           18.0             14.0                   0.0                     2.0           17.0            15.0           2188.0           2103.0                1.0            0.562500                       1.0             1                    1879.0  SEA WNBA donovan99w
           16.0             16.0                   1.0                     2.0           16.0            16.0           2097.0           2129.0                1.0            0.500000                       1.0             3                    1458.0  IND WNBA fortnne99w
           20.0             12.0                   2.0                     3.0            NaN             NaN              NaN              NaN                NaN            0.625000                       1.0             1                       NaN  SAS WNBA harveca99w
           10.0             22.0                   0.0                     0.0           10.0            22.0           2071.0           2140.0                0.0            0.312500                       0.0             4                    1506.0  CLE WNBA hugheda99w
            NaN              NaN                   NaN                     NaN           18.0            14.0           2241.0           2133.0                1.0                 NaN                       NaN             1                    2066.0  CHA WNBA laceytr99w
            9.0             13.0                   0.0                     0.0            9.0            23.0           2114.0           2266.0                0.0            0.409091                       0.0             2                    1561.0  DET WNBA laimbbi01w
            NaN              NaN                   NaN                     NaN           10.0            22.0           2003.0           2104.0                0.0                 NaN                       NaN             1                    1361.0  MIN WNBA mcconsu01w
           14.0             18.0                   0.0                     0.0           14.0            18.0           2166.0           2294.0                0.0            0.437500                       0.0             3                    1876.0  SAC WNBA mchugma99w
            NaN              NaN                   NaN                     NaN           11.0            21.0           2091.0           2291.0                0.0                 NaN                       NaN             1                    1020.0  PHO WNBA shumajo01w
           17.0             15.0                   3.0                     2.0           17.0            15.0           2135.0           2116.0                1.0            0.531250                       1.0             2                    1886.0  WAS WNBA stanlma99w
            NaN              NaN                   NaN                     NaN            NaN             NaN              NaN              NaN                NaN                 NaN                       NaN             1                       NaN  CON WNBA thibami99w
